,ResultsFK,Time,SOBT
0,1,44013.05902777778,0
1,1,44013.0625,1
2,1,44013.06597222222,2
3,1,44013.069444444445,2
4,1,44013.072916666664,2
5,1,44013.07638888889,2
6,1,44013.07986111111,2
7,1,44013.083333333336,2
8,1,44013.086805555555,3
9,1,44013.09027777778,3
10,1,44013.09375,3
11,1,44013.09722222222,3
12,1,44013.100694444445,3
13,1,44013.104166666664,2
14,1,44013.10763888889,1
15,1,44013.11111111111,1
16,1,44013.114583333336,1
17,1,44013.118055555555,1
18,1,44013.12152777778,1
19,1,44013.125,1
20,1,44013.12847222222,0
21,1,44013.131944444445,0
22,1,44013.135416666664,0
23,1,44013.13888888889,0
24,1,44013.14236111111,0
25,1,44013.145833333336,0
26,1,44013.149305555555,0
27,1,44013.15277777778,0
28,1,44013.15625,0
29,1,44013.15972222222,0
30,1,44013.163194444445,0
31,1,44013.166666666664,1
32,1,44013.17013888889,2
33,1,44013.17361111111,2
34,1,44013.177083333336,2
35,1,44013.180555555555,2
36,1,44013.18402777778,2
37,1,44013.1875,2
38,1,44013.19097222222,2
39,1,44013.194444444445,3
40,1,44013.197916666664,3
41,1,44013.20138888889,3
42,1,44013.20486111111,3
43,1,44013.208333333336,2
44,1,44013.211805555555,3
45,1,44013.21527777778,4
46,1,44013.21875,4
47,1,44013.22222222222,4
48,1,44013.225694444445,5
49,1,44013.229166666664,7
50,1,44013.23263888889,9
51,1,44013.23611111111,8
52,1,44013.239583333336,8
53,1,44013.243055555555,10
54,1,44013.24652777778,14
55,1,44013.25,14
56,1,44013.25347222222,15
57,1,44013.256944444445,14
58,1,44013.260416666664,14
59,1,44013.26388888889,14
60,1,44013.26736111111,13
61,1,44013.270833333336,12
62,1,44013.274305555555,10
63,1,44013.27777777778,10
64,1,44013.28125,10
65,1,44013.28472222222,8
66,1,44013.288194444445,4
67,1,44013.291666666664,4
68,1,44013.29513888889,1
69,1,44013.29861111111,1
70,1,44013.302083333336,1
71,1,44013.305555555555,1
72,1,44013.30902777778,1
73,1,44013.3125,1
74,1,44013.31597222222,1
75,1,44013.319444444445,1
76,1,44013.322916666664,1
77,1,44013.32638888889,1
78,1,44013.32986111111,1
79,1,44013.333333333336,1
80,1,44013.336805555555,1
81,1,44013.34027777778,1
82,1,44013.34375,1
83,1,44013.34722222222,1
84,1,44013.350694444445,1
85,1,44013.354166666664,1
86,1,44013.35763888889,2
87,1,44013.36111111111,2
88,1,44013.364583333336,2
89,1,44013.368055555555,3
90,1,44013.37152777778,3
91,1,44013.375,5
92,1,44013.37847222222,6
93,1,44013.381944444445,6
94,1,44013.385416666664,6
95,1,44013.38888888889,6
96,1,44013.39236111111,7
97,1,44013.395833333336,6
98,1,44013.399305555555,5
99,1,44013.40277777778,5
100,1,44013.40625,5
101,1,44013.40972222222,6
102,1,44013.413194444445,7
103,1,44013.416666666664,5
104,1,44013.42013888889,4
105,1,44013.42361111111,4
106,1,44013.427083333336,5
107,1,44013.430555555555,5
108,1,44013.43402777778,5
109,1,44013.4375,8
110,1,44013.44097222222,8
111,1,44013.444444444445,8
112,1,44013.447916666664,8
113,1,44013.45138888889,6
114,1,44013.45486111111,5
115,1,44013.458333333336,5
116,1,44013.461805555555,5
117,1,44013.46527777778,5
118,1,44013.46875,4
119,1,44013.47222222222,4
120,1,44013.475694444445,3
121,1,44013.479166666664,0
122,1,44013.48263888889,0
123,1,44013.48611111111,0
124,1,44013.489583333336,0
125,1,44013.493055555555,0
126,1,44013.49652777778,1
127,1,44013.5,1
128,1,44013.50347222222,2
129,1,44013.506944444445,3
130,1,44013.510416666664,4
131,1,44013.51388888889,4
