,ResultsFK,X,Y
0,1,44013.0,0
1,1,44013.00347222222,176
2,1,44013.006944444445,176
3,1,44013.010416666664,176
4,1,44013.01388888889,176
5,1,44013.01736111111,176
6,1,44013.020833333336,362
7,1,44013.024305555555,362
8,1,44013.02777777778,362
9,1,44013.03125,362
10,1,44013.03472222222,362
11,1,44013.038194444445,455
12,1,44013.041666666664,455
13,1,44013.04513888889,279
14,1,44013.04861111111,279
15,1,44013.052083333336,279
16,1,44013.055555555555,279
17,1,44013.05902777778,279
18,1,44013.0625,234
19,1,44013.06597222222,419
20,1,44013.069444444445,419
21,1,44013.072916666664,419
22,1,44013.07638888889,419
23,1,44013.07986111111,326
24,1,44013.083333333336,326
25,1,44013.086805555555,466
26,1,44013.09027777778,466
27,1,44013.09375,466
28,1,44013.09722222222,466
29,1,44013.100694444445,466
30,1,44013.104166666664,325
31,1,44013.10763888889,140
32,1,44013.11111111111,140
33,1,44013.114583333336,140
34,1,44013.118055555555,140
35,1,44013.12152777778,140
36,1,44013.125,140
37,1,44013.12847222222,0
38,1,44013.131944444445,0
39,1,44013.135416666664,0
40,1,44013.13888888889,0
41,1,44013.14236111111,0
42,1,44013.145833333336,0
43,1,44013.149305555555,0
44,1,44013.15277777778,0
45,1,44013.15625,0
46,1,44013.15972222222,0
47,1,44013.163194444445,0
48,1,44013.166666666664,165
49,1,44013.17013888889,308
50,1,44013.17361111111,308
51,1,44013.177083333336,308
52,1,44013.180555555555,308
53,1,44013.18402777778,308
54,1,44013.1875,308
55,1,44013.19097222222,308
56,1,44013.194444444445,480
57,1,44013.197916666664,480
58,1,44013.20138888889,480
59,1,44013.20486111111,480
60,1,44013.208333333336,315
61,1,44013.211805555555,507
62,1,44013.21527777778,736
63,1,44013.21875,736
64,1,44013.22222222222,736
65,1,44013.225694444445,806
66,1,44013.229166666664,992
67,1,44013.23263888889,1065
68,1,44013.23611111111,893
69,1,44013.239583333336,893
70,1,44013.243055555555,1051
71,1,44013.24652777778,1488
72,1,44013.25,1488
73,1,44013.25347222222,1518
74,1,44013.256944444445,1289
75,1,44013.260416666664,1289
76,1,44013.26388888889,1289
77,1,44013.26736111111,1219
78,1,44013.270833333336,1071
79,1,44013.274305555555,998
80,1,44013.27777777778,998
81,1,44013.28125,1060
82,1,44013.28472222222,902
83,1,44013.288194444445,465
84,1,44013.291666666664,465
85,1,44013.29513888889,100
86,1,44013.29861111111,100
87,1,44013.302083333336,100
88,1,44013.305555555555,100
89,1,44013.30902777778,100
90,1,44013.3125,208
91,1,44013.31597222222,208
92,1,44013.319444444445,208
93,1,44013.322916666664,146
94,1,44013.32638888889,175
95,1,44013.32986111111,232
96,1,44013.333333333336,232
97,1,44013.336805555555,232
98,1,44013.34027777778,259
99,1,44013.34375,259
100,1,44013.34722222222,293
101,1,44013.350694444445,293
102,1,44013.354166666664,270
103,1,44013.35763888889,348
104,1,44013.36111111111,348
105,1,44013.364583333336,348
106,1,44013.368055555555,396
107,1,44013.37152777778,380
108,1,44013.375,599
109,1,44013.37847222222,819
110,1,44013.381944444445,904
111,1,44013.385416666664,1117
112,1,44013.38888888889,1083
113,1,44013.39236111111,1273
114,1,44013.395833333336,1228
115,1,44013.399305555555,1150
116,1,44013.40277777778,1323
117,1,44013.40625,1323
118,1,44013.40972222222,1426
119,1,44013.413194444445,1529
120,1,44013.416666666664,1310
121,1,44013.42013888889,1090
122,1,44013.42361111111,978
123,1,44013.427083333336,872
124,1,44013.430555555555,1034
125,1,44013.43402777778,915
126,1,44013.4375,1139
127,1,44013.44097222222,1139
128,1,44013.444444444445,966
129,1,44013.447916666664,966
130,1,44013.45138888889,786
131,1,44013.45486111111,642
132,1,44013.458333333336,642
133,1,44013.461805555555,809
134,1,44013.46527777778,809
135,1,44013.46875,741
136,1,44013.47222222222,650
137,1,44013.475694444445,579
138,1,44013.479166666664,277
139,1,44013.48263888889,277
140,1,44013.48611111111,406
141,1,44013.489583333336,406
142,1,44013.493055555555,406
143,1,44013.49652777778,492
144,1,44013.5,558
145,1,44013.50347222222,538
146,1,44013.506944444445,570
147,1,44013.510416666664,765
148,1,44013.51388888889,694
149,1,44013.51736111111,749
150,1,44013.520833333336,882
151,1,44013.524305555555,882
152,1,44013.52777777778,812
153,1,44013.53125,946
154,1,44013.53472222222,946
155,1,44013.538194444445,904
156,1,44013.541666666664,910
157,1,44013.54513888889,932
158,1,44013.54861111111,1076
159,1,44013.552083333336,886
160,1,44013.555555555555,934
161,1,44013.55902777778,1036
162,1,44013.5625,1013
163,1,44013.56597222222,1125
164,1,44013.569444444445,1066
165,1,44013.572916666664,1274
166,1,44013.57638888889,1618
167,1,44013.57986111111,1722
168,1,44013.583333333336,2041
169,1,44013.586805555555,1872
170,1,44013.59027777778,1696
171,1,44013.59375,1738
172,1,44013.59722222222,1690
173,1,44013.600694444445,1695
174,1,44013.604166666664,1585
175,1,44013.60763888889,1473
176,1,44013.61111111111,1473
177,1,44013.614583333336,1131
178,1,44013.618055555555,969
179,1,44013.62152777778,1010
180,1,44013.625,619
181,1,44013.62847222222,619
182,1,44013.631944444445,733
183,1,44013.635416666664,717
184,1,44013.63888888889,717
185,1,44013.64236111111,710
186,1,44013.645833333336,781
187,1,44013.649305555555,781
188,1,44013.65277777778,781
189,1,44013.65625,926
190,1,44013.65972222222,744
191,1,44013.663194444445,678
192,1,44013.666666666664,767
193,1,44013.67013888889,936
194,1,44013.67361111111,1129
195,1,44013.677083333336,1148
196,1,44013.680555555555,1148
197,1,44013.68402777778,993
198,1,44013.6875,1113
199,1,44013.69097222222,1140
200,1,44013.694444444445,1140
201,1,44013.697916666664,995
202,1,44013.70138888889,995
203,1,44013.70486111111,1165
204,1,44013.708333333336,1112
205,1,44013.711805555555,943
206,1,44013.71527777778,709
207,1,44013.71875,724
208,1,44013.72222222222,938
209,1,44013.725694444445,938
210,1,44013.729166666664,1056
211,1,44013.73263888889,1206
212,1,44013.73611111111,1275
213,1,44013.739583333336,1275
214,1,44013.743055555555,1692
215,1,44013.74652777778,1647
216,1,44013.75,1611
217,1,44013.75347222222,1761
218,1,44013.756944444445,1968
219,1,44013.760416666664,1864
220,1,44013.76388888889,1743
221,1,44013.76736111111,1743
222,1,44013.770833333336,1616
223,1,44013.774305555555,1439
224,1,44013.77777777778,1658
225,1,44013.78125,1658
226,1,44013.78472222222,1241
227,1,44013.788194444445,1204
228,1,44013.791666666664,1559
229,1,44013.79513888889,1520
230,1,44013.79861111111,1240
231,1,44013.802083333336,1358
232,1,44013.805555555555,1265
233,1,44013.80902777778,1413
234,1,44013.8125,1339
235,1,44013.81597222222,1339
236,1,44013.819444444445,1051
237,1,44013.822916666664,1051
238,1,44013.82638888889,1162
239,1,44013.82986111111,1209
240,1,44013.833333333336,864
241,1,44013.836805555555,753
242,1,44013.84027777778,753
243,1,44013.84375,655
244,1,44013.84722222222,749
245,1,44013.850694444445,601
246,1,44013.854166666664,493
247,1,44013.85763888889,493
248,1,44013.86111111111,493
249,1,44013.864583333336,493
250,1,44013.868055555555,382
251,1,44013.87152777778,124
252,1,44013.875,171
253,1,44013.87847222222,240
254,1,44013.881944444445,336
255,1,44013.885416666664,510
256,1,44013.88888888889,470
257,1,44013.89236111111,585
258,1,44013.895833333336,585
259,1,44013.899305555555,674
260,1,44013.90277777778,794
261,1,44013.90625,1081
262,1,44013.90972222222,1081
263,1,44013.913194444445,1081
264,1,44013.916666666664,1024
265,1,44013.92013888889,1097
266,1,44013.92361111111,1001
267,1,44013.927083333336,807
268,1,44013.930555555555,881
269,1,44013.93402777778,766
270,1,44013.9375,766
271,1,44013.94097222222,677
272,1,44013.944444444445,557
273,1,44013.947916666664,324
274,1,44013.95138888889,324
275,1,44013.95486111111,484
276,1,44013.958333333336,484
277,1,44013.961805555555,342
278,1,44013.96527777778,342
279,1,44013.96875,342
280,1,44013.97222222222,214
281,1,44013.975694444445,214
282,1,44013.979166666664,214
283,1,44013.98263888889,214
284,1,44013.98611111111,214
285,1,44013.989583333336,160
286,1,44013.993055555555,160
