,ResultsFK,Time,TStartWait,_ImmigrationType
0,1,44013.03472222222,0,Automatic
1,1,44013.03472222222,0,Normal
2,1,44013.038194444445,21,Automatic
3,1,44013.038194444445,72,Normal
4,1,44013.041666666664,21,Automatic
5,1,44013.041666666664,72,Normal
6,1,44013.04513888889,21,Automatic
7,1,44013.04513888889,72,Normal
8,1,44013.04861111111,21,Automatic
9,1,44013.04861111111,72,Normal
10,1,44013.052083333336,21,Automatic
11,1,44013.052083333336,72,Normal
12,1,44013.055555555555,21,Automatic
13,1,44013.055555555555,72,Normal
14,1,44013.05902777778,21,Automatic
15,1,44013.05902777778,72,Normal
16,1,44013.0625,21,Automatic
17,1,44013.0625,72,Normal
18,1,44013.06597222222,21,Automatic
19,1,44013.06597222222,72,Normal
20,1,44013.069444444445,21,Automatic
21,1,44013.069444444445,72,Normal
22,1,44013.072916666664,21,Automatic
23,1,44013.072916666664,72,Normal
24,1,44013.07638888889,21,Automatic
25,1,44013.07638888889,72,Normal
26,1,44013.07986111111,0,Automatic
27,1,44013.07986111111,0,Normal
28,1,44013.083333333336,0,Automatic
29,1,44013.083333333336,0,Normal
30,1,44013.086805555555,0,Automatic
31,1,44013.086805555555,0,Normal
32,1,44013.09027777778,0,Automatic
33,1,44013.09027777778,0,Normal
34,1,44013.09375,0,Automatic
35,1,44013.09375,0,Normal
36,1,44013.09722222222,0,Automatic
37,1,44013.09722222222,0,Normal
38,1,44013.100694444445,0,Automatic
39,1,44013.100694444445,0,Normal
40,1,44013.104166666664,0,Automatic
41,1,44013.104166666664,0,Normal
42,1,44013.10763888889,0,Automatic
43,1,44013.10763888889,0,Normal
44,1,44013.11111111111,0,Automatic
45,1,44013.11111111111,0,Normal
46,1,44013.114583333336,0,Automatic
47,1,44013.114583333336,0,Normal
48,1,44013.118055555555,0,Automatic
49,1,44013.118055555555,0,Normal
50,1,44013.12152777778,0,Automatic
51,1,44013.12152777778,0,Normal
52,1,44013.125,0,Automatic
53,1,44013.125,0,Normal
54,1,44013.12847222222,0,Automatic
55,1,44013.12847222222,0,Normal
56,1,44013.131944444445,0,Automatic
57,1,44013.131944444445,0,Normal
58,1,44013.135416666664,0,Automatic
59,1,44013.135416666664,0,Normal
60,1,44013.13888888889,0,Automatic
61,1,44013.13888888889,0,Normal
62,1,44013.14236111111,0,Automatic
63,1,44013.14236111111,0,Normal
64,1,44013.145833333336,0,Automatic
65,1,44013.145833333336,0,Normal
66,1,44013.149305555555,0,Automatic
67,1,44013.149305555555,0,Normal
68,1,44013.15277777778,0,Automatic
