ResultsFK,Time,SIBT
1,44013.00347222222,1
1,44013.006944444445,1
1,44013.010416666664,1
1,44013.01388888889,1
1,44013.01736111111,1
1,44013.020833333336,2
1,44013.024305555555,2
1,44013.02777777778,2
1,44013.03125,2
1,44013.03472222222,2
1,44013.038194444445,3
1,44013.041666666664,3
1,44013.04513888889,2
1,44013.04861111111,2
1,44013.052083333336,2
1,44013.055555555555,2
1,44013.05902777778,2
1,44013.0625,1
1,44013.06597222222,1
1,44013.069444444445,1
1,44013.072916666664,1
1,44013.07638888889,1
1,44013.07986111111,0
1,44013.083333333336,0
1,44013.086805555555,0
1,44013.09027777778,0
1,44013.09375,0
1,44013.09722222222,0
1,44013.100694444445,0
1,44013.104166666664,0
1,44013.10763888889,0
1,44013.11111111111,0
1,44013.114583333336,0
1,44013.118055555555,0
1,44013.12152777778,0
1,44013.125,0
1,44013.12847222222,0
1,44013.131944444445,0
1,44013.135416666664,0
1,44013.13888888889,0
1,44013.14236111111,0
1,44013.145833333336,0
1,44013.149305555555,0
1,44013.15277777778,0
1,44013.15625,0
1,44013.15972222222,0
1,44013.163194444445,0
1,44013.166666666664,0
1,44013.17013888889,0
1,44013.17361111111,0
1,44013.177083333336,0
1,44013.180555555555,0
1,44013.18402777778,0
1,44013.1875,0
1,44013.19097222222,0
1,44013.194444444445,0
1,44013.197916666664,0
1,44013.20138888889,0
1,44013.20486111111,0
1,44013.208333333336,0
1,44013.211805555555,0
1,44013.21527777778,1
1,44013.21875,1
1,44013.22222222222,1
1,44013.225694444445,1
1,44013.229166666664,1
1,44013.23263888889,1
1,44013.23611111111,1
1,44013.239583333336,1
1,44013.243055555555,1
1,44013.24652777778,1
1,44013.25,1
1,44013.25347222222,1
1,44013.256944444445,0
1,44013.260416666664,0
1,44013.26388888889,0
1,44013.26736111111,0
1,44013.270833333336,0
1,44013.274305555555,0
1,44013.27777777778,0
1,44013.28125,1
1,44013.28472222222,1
1,44013.288194444445,1
1,44013.291666666664,1
1,44013.29513888889,1
1,44013.29861111111,1
1,44013.302083333336,1
1,44013.305555555555,1
1,44013.30902777778,1
1,44013.3125,2
1,44013.31597222222,2
1,44013.319444444445,2
1,44013.322916666664,1
1,44013.32638888889,2
1,44013.32986111111,3
1,44013.333333333336,3
1,44013.336805555555,3
1,44013.34027777778,4
1,44013.34375,4
1,44013.34722222222,5
1,44013.350694444445,5
1,44013.354166666664,5
1,44013.35763888889,5
1,44013.36111111111,5
1,44013.364583333336,5
1,44013.368055555555,5
1,44013.37152777778,5
