ResultsFK,Time,SOBT
1,44013.0625,1
1,44013.06597222222,2
1,44013.069444444445,2
1,44013.072916666664,2
1,44013.07638888889,2
1,44013.07986111111,2
1,44013.083333333336,2
1,44013.086805555555,3
1,44013.09027777778,3
1,44013.09375,3
1,44013.09722222222,3
1,44013.100694444445,3
1,44013.104166666664,2
1,44013.10763888889,1
1,44013.11111111111,1
1,44013.114583333336,1
1,44013.118055555555,1
1,44013.12152777778,1
1,44013.125,1
1,44013.12847222222,0
1,44013.131944444445,0
1,44013.135416666664,0
1,44013.13888888889,0
1,44013.14236111111,0
1,44013.145833333336,0
1,44013.149305555555,0
1,44013.15277777778,0
1,44013.15625,0
1,44013.15972222222,0
1,44013.163194444445,0
1,44013.166666666664,1
1,44013.17013888889,2
1,44013.17361111111,2
1,44013.177083333336,2
1,44013.180555555555,2
1,44013.18402777778,2
1,44013.1875,2
1,44013.19097222222,2
1,44013.194444444445,3
1,44013.197916666664,3
1,44013.20138888889,3
1,44013.20486111111,3
1,44013.208333333336,2
1,44013.211805555555,3
1,44013.21527777778,4
1,44013.21875,4
1,44013.22222222222,4
1,44013.225694444445,5
1,44013.229166666664,7
1,44013.23263888889,9
1,44013.23611111111,8
1,44013.239583333336,8
1,44013.243055555555,10
1,44013.24652777778,14
1,44013.25,14
1,44013.25347222222,15
1,44013.256944444445,14
1,44013.260416666664,14
1,44013.26388888889,14
1,44013.26736111111,13
1,44013.270833333336,12
1,44013.274305555555,10
1,44013.27777777778,10
1,44013.28125,10
1,44013.28472222222,8
1,44013.288194444445,4
1,44013.291666666664,4
1,44013.29513888889,1
1,44013.29861111111,1
1,44013.302083333336,1
1,44013.305555555555,1
1,44013.30902777778,1
1,44013.3125,1
1,44013.31597222222,1
1,44013.319444444445,1
1,44013.322916666664,1
1,44013.32638888889,1
1,44013.32986111111,1
1,44013.333333333336,1
1,44013.336805555555,1
1,44013.34027777778,1
1,44013.34375,1
1,44013.34722222222,1
1,44013.350694444445,1
1,44013.354166666664,1
1,44013.35763888889,2
1,44013.36111111111,2
1,44013.364583333336,2
1,44013.368055555555,3
1,44013.37152777778,3
1,44013.375,5
1,44013.37847222222,6
1,44013.381944444445,6
1,44013.385416666664,6
1,44013.38888888889,6
1,44013.39236111111,7
1,44013.395833333336,6
1,44013.399305555555,5
1,44013.40277777778,5
1,44013.40625,5
1,44013.40972222222,6
1,44013.413194444445,7
1,44013.416666666664,5
1,44013.42013888889,4
1,44013.42361111111,4
1,44013.427083333336,5
1,44013.430555555555,5
1,44013.43402777778,5
1,44013.4375,8
1,44013.44097222222,8
1,44013.444444444445,8
1,44013.447916666664,8
1,44013.45138888889,6
1,44013.45486111111,5
1,44013.458333333336,5
1,44013.461805555555,5
1,44013.46527777778,5
1,44013.46875,4
1,44013.47222222222,4
1,44013.475694444445,3
1,44013.479166666664,0
1,44013.48263888889,0
1,44013.48611111111,0
1,44013.489583333336,0
1,44013.493055555555,0
1,44013.49652777778,1
1,44013.5,1
1,44013.50347222222,2
1,44013.506944444445,3
1,44013.510416666664,4
1,44013.51388888889,4
1,44013.51736111111,5
1,44013.520833333336,7
1,44013.524305555555,7
1,44013.52777777778,8
1,44013.53125,8
1,44013.53472222222,8
1,44013.538194444445,7
1,44013.541666666664,7
1,44013.54513888889,6
1,44013.54861111111,5
1,44013.552083333336,4
1,44013.555555555555,5
1,44013.55902777778,5
1,44013.5625,3
1,44013.56597222222,4
1,44013.569444444445,3
1,44013.572916666664,5
1,44013.57638888889,7
1,44013.57986111111,8
1,44013.583333333336,11
1,44013.586805555555,11
1,44013.59027777778,11
1,44013.59375,12
1,44013.59722222222,11
1,44013.600694444445,11
1,44013.604166666664,11
1,44013.60763888889,10
1,44013.61111111111,10
1,44013.614583333336,8
1,44013.618055555555,6
1,44013.62152777778,6
1,44013.625,3
1,44013.62847222222,3
1,44013.631944444445,3
1,44013.635416666664,3
1,44013.63888888889,3
1,44013.64236111111,3
1,44013.645833333336,3
1,44013.649305555555,3
1,44013.65277777778,3
1,44013.65625,3
1,44013.65972222222,3
1,44013.663194444445,3
1,44013.666666666664,4
1,44013.67013888889,5
1,44013.67361111111,6
1,44013.677083333336,5
1,44013.680555555555,5
1,44013.68402777778,4
1,44013.6875,5
1,44013.69097222222,6
1,44013.694444444445,6
1,44013.697916666664,6
1,44013.70138888889,6
1,44013.70486111111,5
1,44013.708333333336,5
1,44013.711805555555,4
1,44013.71527777778,3
1,44013.71875,4
1,44013.72222222222,4
1,44013.725694444445,4
1,44013.729166666664,4
1,44013.73263888889,5
1,44013.73611111111,6
1,44013.739583333336,6
1,44013.743055555555,6
1,44013.74652777778,8
1,44013.75,7
1,44013.75347222222,8
1,44013.756944444445,10
1,44013.760416666664,9
1,44013.76388888889,10
1,44013.76736111111,10
1,44013.770833333336,9
1,44013.774305555555,7
1,44013.77777777778,8
1,44013.78125,8
1,44013.78472222222,8
1,44013.788194444445,6
1,44013.791666666664,9
1,44013.79513888889,8
1,44013.79861111111,6
1,44013.802083333336,7
1,44013.805555555555,6
1,44013.80902777778,6
1,44013.8125,7
1,44013.81597222222,7
1,44013.819444444445,5
1,44013.822916666664,5
1,44013.82638888889,7
1,44013.82986111111,10
1,44013.833333333336,8
1,44013.836805555555,8
1,44013.84027777778,8
1,44013.84375,8
1,44013.84722222222,8
1,44013.850694444445,8
1,44013.854166666664,7
1,44013.85763888889,7
1,44013.86111111111,7
1,44013.864583333336,7
1,44013.868055555555,5
1,44013.87152777778,2
1,44013.875,1
1,44013.87847222222,1
1,44013.881944444445,1
