ResultsFK,Time,CustomColumnID_OutboundFlight_PaxCount
1,44013.0625,141
1,44013.06597222222,326
1,44013.069444444445,326
1,44013.072916666664,326
1,44013.07638888889,326
1,44013.07986111111,326
1,44013.083333333336,326
1,44013.086805555555,466
1,44013.09027777778,466
1,44013.09375,466
1,44013.09722222222,466
1,44013.100694444445,466
1,44013.104166666664,325
1,44013.10763888889,140
1,44013.11111111111,140
1,44013.114583333336,140
1,44013.118055555555,140
1,44013.12152777778,140
1,44013.125,140
1,44013.12847222222,0
1,44013.131944444445,0
1,44013.135416666664,0
1,44013.13888888889,0
1,44013.14236111111,0
1,44013.145833333336,0
1,44013.149305555555,0
1,44013.15277777778,0
1,44013.15625,0
1,44013.15972222222,0
1,44013.163194444445,0
1,44013.166666666664,165
1,44013.17013888889,308
1,44013.17361111111,308
1,44013.177083333336,308
1,44013.180555555555,308
1,44013.18402777778,308
1,44013.1875,308
1,44013.19097222222,308
1,44013.194444444445,480
1,44013.197916666664,480
1,44013.20138888889,480
1,44013.20486111111,480
1,44013.208333333336,315
1,44013.211805555555,507
1,44013.21527777778,578
1,44013.21875,578
1,44013.22222222222,578
1,44013.225694444445,648
1,44013.229166666664,834
1,44013.23263888889,907
1,44013.23611111111,735
1,44013.239583333336,735
1,44013.243055555555,893
1,44013.24652777778,1330
1,44013.25,1330
1,44013.25347222222,1360
1,44013.256944444445,1289
1,44013.260416666664,1289
1,44013.26388888889,1289
1,44013.26736111111,1219
1,44013.270833333336,1071
1,44013.274305555555,998
1,44013.27777777778,998
1,44013.28125,998
1,44013.28472222222,840
1,44013.288194444445,403
1,44013.291666666664,403
1,44013.29513888889,38
1,44013.29861111111,38
1,44013.302083333336,38
1,44013.305555555555,38
1,44013.30902777778,38
1,44013.3125,59
1,44013.31597222222,59
1,44013.319444444445,59
1,44013.322916666664,59
1,44013.32638888889,59
1,44013.32986111111,59
1,44013.333333333336,59
1,44013.336805555555,59
1,44013.34027777778,59
1,44013.34375,59
1,44013.34722222222,59
1,44013.350694444445,59
1,44013.354166666664,28
1,44013.35763888889,106
1,44013.36111111111,106
1,44013.364583333336,106
1,44013.368055555555,142
1,44013.37152777778,142
