ResultsFK,Time,TStartWait
1,44012.958333333336,5
1,44012.961805555555,12
1,44012.96527777778,20
1,44012.96875,27
1,44012.97222222222,36
1,44012.975694444445,47
1,44012.979166666664,55
1,44012.98263888889,72
1,44012.98611111111,81
1,44012.989583333336,110
1,44012.993055555555,123
1,44012.99652777778,144
1,44013.0,169
1,44013.00347222222,182
1,44013.006944444445,215
1,44013.010416666664,236
1,44013.01388888889,252
1,44013.01736111111,259
1,44013.020833333336,275
1,44013.024305555555,276
1,44013.02777777778,286
1,44013.03125,277
1,44013.03472222222,282
1,44013.038194444445,276
1,44013.041666666664,259
1,44013.04513888889,245
1,44013.04861111111,209
1,44013.052083333336,187
1,44013.055555555555,168
1,44013.05902777778,157
1,44013.0625,142
1,44013.06597222222,130
1,44013.069444444445,118
1,44013.072916666664,104
1,44013.07638888889,94
1,44013.07986111111,92
1,44013.083333333336,92
1,44013.086805555555,111
1,44013.09027777778,125
1,44013.09375,136
1,44013.09722222222,155
1,44013.100694444445,178
1,44013.104166666664,189
1,44013.10763888889,220
1,44013.11111111111,243
1,44013.114583333336,278
1,44013.118055555555,302
1,44013.12152777778,317
1,44013.125,365
1,44013.12847222222,379
1,44013.131944444445,400
1,44013.135416666664,441
1,44013.13888888889,468
1,44013.14236111111,483
1,44013.145833333336,550
1,44013.149305555555,571
1,44013.15277777778,595
1,44013.15625,675
1,44013.15972222222,718
1,44013.163194444445,776
1,44013.166666666664,794
1,44013.17013888889,833
1,44013.17361111111,876
1,44013.177083333336,897
1,44013.180555555555,933
1,44013.18402777778,1004
1,44013.1875,1005
1,44013.19097222222,1044
1,44013.194444444445,1072
1,44013.197916666664,996
1,44013.20138888889,965
1,44013.20486111111,925
1,44013.208333333336,893
1,44013.211805555555,863
1,44013.21527777778,817
1,44013.21875,762
1,44013.22222222222,678
1,44013.225694444445,567
1,44013.229166666664,484
1,44013.23263888889,393
1,44013.23611111111,317
1,44013.239583333336,275
1,44013.243055555555,232
1,44013.24652777778,191
1,44013.25,152
1,44013.25347222222,109
1,44013.256944444445,74
1,44013.260416666664,54
1,44013.26388888889,54
1,44013.26736111111,59
1,44013.270833333336,63
1,44013.274305555555,74
1,44013.27777777778,79
1,44013.28125,106
1,44013.28472222222,124
1,44013.288194444445,145
1,44013.291666666664,156
1,44013.29513888889,188
1,44013.29861111111,212
1,44013.302083333336,234
1,44013.305555555555,257
1,44013.30902777778,276
1,44013.3125,304
1,44013.31597222222,320
1,44013.319444444445,344
1,44013.322916666664,347
1,44013.32638888889,360
1,44013.32986111111,363
1,44013.333333333336,399
1,44013.336805555555,403
1,44013.34027777778,415
1,44013.34375,429
1,44013.34722222222,438
1,44013.350694444445,458
1,44013.354166666664,468
1,44013.35763888889,471
1,44013.36111111111,497
1,44013.364583333336,511
1,44013.368055555555,518
1,44013.37152777778,537
1,44013.375,527
1,44013.37847222222,529
1,44013.381944444445,535
1,44013.385416666664,536
1,44013.38888888889,524
1,44013.39236111111,493
1,44013.395833333336,463
1,44013.399305555555,439
1,44013.40277777778,388
1,44013.40625,349
1,44013.40972222222,320
1,44013.413194444445,280
1,44013.416666666664,252
1,44013.42013888889,224
1,44013.42361111111,198
1,44013.427083333336,188
1,44013.430555555555,192
1,44013.43402777778,192
1,44013.4375,217
1,44013.44097222222,243
1,44013.444444444445,266
1,44013.447916666664,291
1,44013.45138888889,312
1,44013.45486111111,329
1,44013.458333333336,367
1,44013.461805555555,389
1,44013.46527777778,407
1,44013.46875,404
1,44013.47222222222,414
1,44013.475694444445,436
1,44013.479166666664,431
1,44013.48263888889,427
1,44013.48611111111,433
1,44013.489583333336,447
1,44013.493055555555,474
1,44013.49652777778,492
1,44013.5,502
1,44013.50347222222,550
1,44013.506944444445,577
1,44013.510416666664,632
1,44013.51388888889,669
1,44013.51736111111,730
1,44013.520833333336,772
1,44013.524305555555,840
1,44013.52777777778,878
1,44013.53125,905
1,44013.53472222222,908
1,44013.538194444445,934
1,44013.541666666664,940
1,44013.54513888889,915
1,44013.54861111111,890
1,44013.552083333336,839
1,44013.555555555555,799
1,44013.55902777778,734
1,44013.5625,692
1,44013.56597222222,624
1,44013.569444444445,589
1,44013.572916666664,552
1,44013.57638888889,517
1,44013.57986111111,478
1,44013.583333333336,434
1,44013.586805555555,401
1,44013.59027777778,400
1,44013.59375,395
1,44013.59722222222,420
1,44013.600694444445,429
1,44013.604166666664,441
1,44013.60763888889,443
1,44013.61111111111,439
1,44013.614583333336,467
1,44013.618055555555,477
1,44013.62152777778,478
1,44013.625,491
1,44013.62847222222,503
1,44013.631944444445,501
1,44013.635416666664,511
1,44013.63888888889,481
1,44013.64236111111,466
1,44013.645833333336,468
1,44013.649305555555,465
1,44013.65277777778,463
1,44013.65625,445
1,44013.65972222222,458
1,44013.663194444445,464
1,44013.666666666664,490
1,44013.67013888889,506
1,44013.67361111111,522
1,44013.677083333336,533
1,44013.680555555555,584
1,44013.68402777778,617
1,44013.6875,624
1,44013.69097222222,672
1,44013.694444444445,702
1,44013.697916666664,725
1,44013.70138888889,743
1,44013.70486111111,761
1,44013.708333333336,765
1,44013.711805555555,780
1,44013.71527777778,809
1,44013.71875,846
1,44013.72222222222,838
1,44013.725694444445,844
1,44013.729166666664,846
1,44013.73263888889,826
1,44013.73611111111,820
1,44013.739583333336,816
1,44013.743055555555,813
1,44013.74652777778,792
1,44013.75,761
1,44013.75347222222,725
1,44013.756944444445,681
1,44013.760416666664,633
1,44013.76388888889,592
1,44013.76736111111,553
1,44013.770833333336,521
1,44013.774305555555,488
1,44013.77777777778,455
1,44013.78125,411
1,44013.78472222222,358
1,44013.788194444445,331
1,44013.791666666664,293
1,44013.79513888889,259
