,ResultsFK,Time,TStartWait,TFinish
0,1,44012.9548611111,0,0
1,1,44012.9583333333,5,4
2,1,44012.9618055556,12,11
3,1,44012.9652777778,20,19
4,1,44012.96875,27,26
5,1,44012.9722222222,36,34
6,1,44012.9756944445,47,45
7,1,44012.9791666667,55,53
8,1,44012.9826388889,72,63
9,1,44012.9861111111,81,73
10,1,44012.9895833333,110,92
11,1,44012.9930555556,123,112
12,1,44012.9965277778,144,133
13,1,44013,169,149
14,1,44013.0034722222,182,162
15,1,44013.0069444444,215,184
16,1,44013.0104166667,236,207
17,1,44013.0138888889,252,229
18,1,44013.0173611111,259,248
19,1,44013.0208333333,275,263
20,1,44013.0243055556,276,275
21,1,44013.0277777778,286,284
22,1,44013.03125,277,284
23,1,44013.0347222222,282,284
24,1,44013.0381944444,276,278
25,1,44013.0416666667,259,268
26,1,44013.0451388889,245,258
27,1,44013.0486111111,209,238
28,1,44013.0520833333,187,217
29,1,44013.0555555556,168,193
30,1,44013.0590277778,157,170
31,1,44013.0625,142,154
32,1,44013.0659722222,130,139
33,1,44013.0694444444,118,127
34,1,44013.0729166667,104,115
35,1,44013.0763888889,94,102
36,1,44013.0798611111,92,97
37,1,44013.0833333333,92,97
38,1,44013.0868055556,111,107
39,1,44013.0902777778,125,116
40,1,44013.09375,136,127
41,1,44013.0972222222,155,142
42,1,44013.1006944444,178,154
43,1,44013.1041666667,189,167
44,1,44013.1076388889,220,189
45,1,44013.1111111111,243,212
46,1,44013.1145833333,278,235
47,1,44013.1180555556,302,257
48,1,44013.1215277778,317,278
49,1,44013.125,365,308
50,1,44013.1284722222,379,328
51,1,44013.1319444444,400,349
52,1,44013.1354166667,441,377
53,1,44013.1388888889,468,406
54,1,44013.1423611111,483,438
55,1,44013.1458333333,550,477
56,1,44013.1493055556,571,506
57,1,44013.1527777778,595,537
58,1,44013.15625,675,587
59,1,44013.1597222222,718,638
60,1,44013.1631944445,776,688
61,1,44013.1666666667,794,727
62,1,44013.1701388889,833,767
63,1,44013.1736111111,876,807
64,1,44013.1770833333,897,838
65,1,44013.1805555556,933,867
66,1,44013.1840277778,1004,908
67,1,44013.1875,1005,939
68,1,44013.1909722222,1044,971
69,1,44013.1944444445,1072,1000
70,1,44013.1979166667,996,1011
71,1,44013.2013888889,965,1014
72,1,44013.2048611111,925,984
73,1,44013.2083333333,893,954
74,1,44013.2118055556,863,925
75,1,44013.2152777778,817,893
76,1,44013.21875,762,853
77,1,44013.2222222222,678,805
78,1,44013.2256944445,567,730
79,1,44013.2291666667,484,647
80,1,44013.2326388889,393,562
81,1,44013.2361111111,317,478
82,1,44013.2395833333,275,391
83,1,44013.2430555556,232,309
84,1,44013.2465277778,191,263
85,1,44013.25,152,220
86,1,44013.2534722222,109,176
87,1,44013.2569444444,74,130
88,1,44013.2604166667,54,94
89,1,44013.2638888889,54,67
90,1,44013.2673611111,59,58
91,1,44013.2708333333,63,61
92,1,44013.2743055556,74,66
93,1,44013.2777777778,79,70
94,1,44013.28125,106,86
95,1,44013.2847222222,124,105
96,1,44013.2881944444,145,120
97,1,44013.2916666667,156,135
98,1,44013.2951388889,188,159
99,1,44013.2986111111,212,185
100,1,44013.3020833333,234,211
101,1,44013.3055555556,257,237
102,1,44013.3090277778,276,259
103,1,44013.3125,304,279
104,1,44013.3159722222,320,299
105,1,44013.3194444444,344,319
106,1,44013.3229166667,347,327
107,1,44013.3263888889,360,337
108,1,44013.3298611111,363,348
109,1,44013.3333333333,399,366
110,1,44013.3368055556,403,374
111,1,44013.3402777778,415,388
112,1,44013.34375,429,399
113,1,44013.3472222222,438,409
114,1,44013.3506944444,458,419
115,1,44013.3541666667,468,428
116,1,44013.3576388889,471,439
117,1,44013.3611111111,497,457
118,1,44013.3645833333,511,479
119,1,44013.3680555556,518,500
120,1,44013.3715277778,537,520
121,1,44013.375,527,530
122,1,44013.3784722222,529,533
123,1,44013.3819444444,535,530
124,1,44013.3854166667,536,530
125,1,44013.3888888889,524,529
126,1,44013.3923611111,493,530
127,1,44013.3958333333,463,513
128,1,44013.3993055556,439,490
129,1,44013.4027777778,388,462
130,1,44013.40625,349,420
131,1,44013.4097222222,320,379
132,1,44013.4131944444,280,336
133,1,44013.4166666667,252,302
134,1,44013.4201388889,224,278
135,1,44013.4236111111,198,255
136,1,44013.4270833333,188,233
137,1,44013.4305555556,192,215
138,1,44013.4340277778,192,194
139,1,44013.4375,217,201
140,1,44013.4409722222,243,213
141,1,44013.4444444445,266,222
142,1,44013.4479166667,291,243
143,1,44013.4513888889,312,263
144,1,44013.4548611111,329,285
145,1,44013.4583333333,367,311
146,1,44013.4618055556,389,333
147,1,44013.4652777778,407,356
148,1,44013.46875,404,377
149,1,44013.4722222222,414,399
150,1,44013.4756944445,436,417
151,1,44013.4791666667,431,430
152,1,44013.4826388889,427,439
153,1,44013.4861111111,433,452
154,1,44013.4895833333,447,463
155,1,44013.4930555556,474,471
156,1,44013.4965277778,492,480
157,1,44013.5,502,491
158,1,44013.5034722222,550,511
159,1,44013.5069444445,577,529
160,1,44013.5104166667,632,559
161,1,44013.5138888889,669,588
162,1,44013.5173611111,730,629
163,1,44013.5208333333,772,668
164,1,44013.5243055556,840,718
165,1,44013.5277777778,878,765
166,1,44013.53125,905,815
167,1,44013.5347222222,908,866
168,1,44013.5381944444,934,919
169,1,44013.5416666667,940,928
170,1,44013.5451388889,915,926
171,1,44013.5486111111,890,928
172,1,44013.5520833333,839,921
173,1,44013.5555555556,799,910
174,1,44013.5590277778,734,865
175,1,44013.5625,692,812
176,1,44013.5659722222,624,753
177,1,44013.5694444444,589,695
178,1,44013.5729166667,552,636
179,1,44013.5763888889,517,576
180,1,44013.5798611111,478,514
181,1,44013.5833333333,434,482
182,1,44013.5868055556,401,456
183,1,44013.5902777778,400,426
184,1,44013.59375,395,394
185,1,44013.5972222222,420,373
186,1,44013.6006944444,429,379
187,1,44013.6041666667,441,393
188,1,44013.6076388889,443,403
189,1,44013.6111111111,439,411
190,1,44013.6145833333,467,430
191,1,44013.6180555556,477,453
192,1,44013.6215277778,478,472
193,1,44013.625,491,493
194,1,44013.6284722222,503,503
195,1,44013.6319444444,501,504
196,1,44013.6354166667,511,503
197,1,44013.6388888889,481,493
198,1,44013.6423611111,466,483
199,1,44013.6458333333,468,480
200,1,44013.6493055556,465,481
201,1,44013.6527777778,463,482
202,1,44013.65625,445,471
203,1,44013.6597222222,458,460
204,1,44013.6631944444,464,450
205,1,44013.6666666667,490,451
206,1,44013.6701388889,506,458
207,1,44013.6736111111,522,478
208,1,44013.6770833333,533,499
209,1,44013.6805555556,584,528
210,1,44013.6840277778,617,558
211,1,44013.6875,624,579
212,1,44013.6909722222,672,605
213,1,44013.6944444444,702,636
214,1,44013.6979166667,725,666
215,1,44013.7013888889,743,696
216,1,44013.7048611111,761,726
217,1,44013.7083333333,765,746
218,1,44013.7118055556,780,767
219,1,44013.7152777778,809,786
220,1,44013.71875,846,806
221,1,44013.7222222222,838,817
222,1,44013.7256944445,844,827
223,1,44013.7291666667,846,836
224,1,44013.7326388889,826,835
225,1,44013.7361111111,820,824
226,1,44013.7395833333,816,815
227,1,44013.7430555556,813,806
228,1,44013.7465277778,792,797
229,1,44013.75,761,783
230,1,44013.7534722222,725,754
231,1,44013.7569444445,681,725
232,1,44013.7604166667,633,695
233,1,44013.7638888889,592,665
234,1,44013.7673611111,553,629
235,1,44013.7708333333,521,590
236,1,44013.7743055556,488,554
237,1,44013.7777777778,455,523
238,1,44013.78125,411,495
239,1,44013.7847222222,358,454
240,1,44013.7881944444,331,412
241,1,44013.7916666667,293,361
242,1,44013.7951388889,259,320
243,1,44013.7986111111,223,280
244,1,44013.8020833333,186,240
245,1,44013.8055555556,154,200
246,1,44013.8090277778,124,166
247,1,44013.8125,96,136
248,1,44013.8159722222,68,106
249,1,44013.8194444444,41,77
250,1,44013.8229166667,19,45
251,1,44013.8263888889,8,24
252,1,44013.8298611111,1,6
