,ResultsFK,Time,TFinish
0,1,44012.95486111111,0
1,1,44012.958333333336,4
2,1,44012.961805555555,11
3,1,44012.96527777778,19
4,1,44012.96875,26
5,1,44012.97222222222,34
6,1,44012.975694444445,45
7,1,44012.979166666664,53
8,1,44012.98263888889,63
9,1,44012.98611111111,73
10,1,44012.989583333336,92
11,1,44012.993055555555,112
12,1,44012.99652777778,133
13,1,44013.0,149
14,1,44013.00347222222,162
15,1,44013.006944444445,184
16,1,44013.010416666664,207
17,1,44013.01388888889,229
18,1,44013.01736111111,248
19,1,44013.020833333336,263
20,1,44013.024305555555,275
21,1,44013.02777777778,284
22,1,44013.03125,284
23,1,44013.03472222222,284
24,1,44013.038194444445,278
25,1,44013.041666666664,268
26,1,44013.04513888889,258
27,1,44013.04861111111,238
28,1,44013.052083333336,217
29,1,44013.055555555555,193
30,1,44013.05902777778,170
31,1,44013.0625,154
32,1,44013.06597222222,139
33,1,44013.069444444445,127
34,1,44013.072916666664,115
35,1,44013.07638888889,102
36,1,44013.07986111111,97
37,1,44013.083333333336,97
38,1,44013.086805555555,107
39,1,44013.09027777778,116
40,1,44013.09375,127
41,1,44013.09722222222,142
42,1,44013.100694444445,154
43,1,44013.104166666664,167
44,1,44013.10763888889,189
45,1,44013.11111111111,212
46,1,44013.114583333336,235
47,1,44013.118055555555,257
48,1,44013.12152777778,278
49,1,44013.125,308
50,1,44013.12847222222,328
51,1,44013.131944444445,349
52,1,44013.135416666664,377
53,1,44013.13888888889,406
54,1,44013.14236111111,438
55,1,44013.145833333336,477
56,1,44013.149305555555,506
57,1,44013.15277777778,537
58,1,44013.15625,587
59,1,44013.15972222222,638
60,1,44013.163194444445,688
61,1,44013.166666666664,727
62,1,44013.17013888889,767
63,1,44013.17361111111,807
64,1,44013.177083333336,838
65,1,44013.180555555555,867
66,1,44013.18402777778,908
67,1,44013.1875,939
68,1,44013.19097222222,971
69,1,44013.194444444445,1000
70,1,44013.197916666664,1011
71,1,44013.20138888889,1014
72,1,44013.20486111111,984
73,1,44013.208333333336,954
74,1,44013.211805555555,925
75,1,44013.21527777778,893
76,1,44013.21875,853
77,1,44013.22222222222,805
78,1,44013.225694444445,730
79,1,44013.229166666664,647
80,1,44013.23263888889,562
81,1,44013.23611111111,478
82,1,44013.239583333336,391
83,1,44013.243055555555,309
84,1,44013.24652777778,263
85,1,44013.25,220
86,1,44013.25347222222,176
87,1,44013.256944444445,130
88,1,44013.260416666664,94
89,1,44013.26388888889,67
90,1,44013.26736111111,58
91,1,44013.270833333336,61
92,1,44013.274305555555,66
93,1,44013.27777777778,70
94,1,44013.28125,86
95,1,44013.28472222222,105
96,1,44013.288194444445,120
97,1,44013.291666666664,135
98,1,44013.29513888889,159
99,1,44013.29861111111,185
100,1,44013.302083333336,211
101,1,44013.305555555555,237
102,1,44013.30902777778,259
103,1,44013.3125,279
104,1,44013.31597222222,299
105,1,44013.319444444445,319
106,1,44013.322916666664,327
107,1,44013.32638888889,337
108,1,44013.32986111111,348
109,1,44013.333333333336,366
110,1,44013.336805555555,374
111,1,44013.34027777778,388
112,1,44013.34375,399
113,1,44013.34722222222,409
114,1,44013.350694444445,419
115,1,44013.354166666664,428
116,1,44013.35763888889,439
117,1,44013.36111111111,457
118,1,44013.364583333336,479
119,1,44013.368055555555,500
120,1,44013.37152777778,520
121,1,44013.375,530
122,1,44013.37847222222,533
123,1,44013.381944444445,530
124,1,44013.385416666664,530
125,1,44013.38888888889,529
126,1,44013.39236111111,530
127,1,44013.395833333336,513
128,1,44013.399305555555,490
129,1,44013.40277777778,462
130,1,44013.40625,420
131,1,44013.40972222222,379
132,1,44013.413194444445,336
133,1,44013.416666666664,302
134,1,44013.42013888889,278
135,1,44013.42361111111,255
136,1,44013.427083333336,233
137,1,44013.430555555555,215
138,1,44013.43402777778,194
139,1,44013.4375,201
140,1,44013.44097222222,213
141,1,44013.444444444445,222
142,1,44013.447916666664,243
143,1,44013.45138888889,263
144,1,44013.45486111111,285
145,1,44013.458333333336,311
146,1,44013.461805555555,333
147,1,44013.46527777778,356
148,1,44013.46875,377
149,1,44013.47222222222,399
150,1,44013.475694444445,417
151,1,44013.479166666664,430
152,1,44013.48263888889,439
153,1,44013.48611111111,452
154,1,44013.489583333336,463
155,1,44013.493055555555,471
156,1,44013.49652777778,480
157,1,44013.5,491
158,1,44013.50347222222,511
159,1,44013.506944444445,529
160,1,44013.510416666664,559
161,1,44013.51388888889,588
162,1,44013.51736111111,629
163,1,44013.520833333336,668
164,1,44013.524305555555,718
165,1,44013.52777777778,765
166,1,44013.53125,815
167,1,44013.53472222222,866
168,1,44013.538194444445,919
169,1,44013.541666666664,928
170,1,44013.54513888889,926
171,1,44013.54861111111,928
172,1,44013.552083333336,921
173,1,44013.555555555555,910
174,1,44013.55902777778,865
175,1,44013.5625,812
176,1,44013.56597222222,753
177,1,44013.569444444445,695
178,1,44013.572916666664,636
179,1,44013.57638888889,576
180,1,44013.57986111111,514
181,1,44013.583333333336,482
182,1,44013.586805555555,456
183,1,44013.59027777778,426
184,1,44013.59375,394
185,1,44013.59722222222,373
186,1,44013.600694444445,379
187,1,44013.604166666664,393
188,1,44013.60763888889,403
189,1,44013.61111111111,411
190,1,44013.614583333336,430
191,1,44013.618055555555,453
192,1,44013.62152777778,472
193,1,44013.625,493
194,1,44013.62847222222,503
195,1,44013.631944444445,504
196,1,44013.635416666664,503
197,1,44013.63888888889,493
198,1,44013.64236111111,483
199,1,44013.645833333336,480
200,1,44013.649305555555,481
201,1,44013.65277777778,482
202,1,44013.65625,471
203,1,44013.65972222222,460
204,1,44013.663194444445,450
205,1,44013.666666666664,451
206,1,44013.67013888889,458
207,1,44013.67361111111,478
208,1,44013.677083333336,499
209,1,44013.680555555555,528
210,1,44013.68402777778,558
211,1,44013.6875,579
212,1,44013.69097222222,605
213,1,44013.694444444445,636
214,1,44013.697916666664,666
215,1,44013.70138888889,696
216,1,44013.70486111111,726
217,1,44013.708333333336,746
218,1,44013.711805555555,767
219,1,44013.71527777778,786
220,1,44013.71875,806
221,1,44013.72222222222,817
222,1,44013.725694444445,827
223,1,44013.729166666664,836
224,1,44013.73263888889,835
225,1,44013.73611111111,824
226,1,44013.739583333336,815
227,1,44013.743055555555,806
228,1,44013.74652777778,797
229,1,44013.75,783
230,1,44013.75347222222,754
231,1,44013.756944444445,725
232,1,44013.760416666664,695
233,1,44013.76388888889,665
234,1,44013.76736111111,629
235,1,44013.770833333336,590
236,1,44013.774305555555,554
237,1,44013.77777777778,523
238,1,44013.78125,495
239,1,44013.78472222222,454
240,1,44013.788194444445,412
241,1,44013.791666666664,361
242,1,44013.79513888889,320
243,1,44013.79861111111,280
244,1,44013.802083333336,240
245,1,44013.805555555555,200
246,1,44013.80902777778,166
247,1,44013.8125,136
248,1,44013.81597222222,106
249,1,44013.819444444445,77
250,1,44013.822916666664,45
251,1,44013.82638888889,24
252,1,44013.82986111111,6
