ResultsFK,Time,TStartWait_TFinish,CustomColumnID_Assignments_T1_AssignmentBegin__CustomColumnID_Assignments_T2_AssignmentEnd_,BlockIDResourceID
1,44012.993055555555,,,L0 Security Control 1_Common Usage_7
1,44012.993055555555,,,L0 Security Control 1_Common Usage_5
1,44012.993055555555,,,L0 Security Control 1_Common Usage_8
1,44012.993055555555,,,L0 Security Control 1_Common Usage_3
1,44012.993055555555,,,L0 Security Control 1_Common Usage_6
1,44012.993055555555,,,L0 Security Control 1_Common Usage_2
1,44012.993055555555,,,L0 Security Control 1_Common Usage_4
1,44012.993055555555,,,L0 Security Control 1_Common Usage_1
1,44012.99652777778,2.0,2268.0,L0 Security Control 1_Common Usage_9
1,44012.99652777778,,,L0 Security Control 1_Common Usage_7
1,44012.99652777778,,,L0 Security Control 1_Common Usage_5
1,44012.99652777778,,,L0 Security Control 1_Common Usage_8
1,44012.99652777778,,,L0 Security Control 1_Common Usage_3
1,44012.99652777778,,,L0 Security Control 1_Common Usage_6
1,44012.99652777778,,,L0 Security Control 1_Common Usage_2
1,44012.99652777778,,,L0 Security Control 1_Common Usage_4
1,44012.99652777778,,,L0 Security Control 1_Common Usage_1
1,44013.0,2.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.0,,,L0 Security Control 1_Common Usage_7
1,44013.0,,,L0 Security Control 1_Common Usage_5
1,44013.0,,,L0 Security Control 1_Common Usage_8
1,44013.0,,,L0 Security Control 1_Common Usage_3
1,44013.0,,,L0 Security Control 1_Common Usage_6
1,44013.0,,,L0 Security Control 1_Common Usage_2
1,44013.0,,,L0 Security Control 1_Common Usage_4
1,44013.0,,,L0 Security Control 1_Common Usage_1
1,44013.00347222222,2.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.00347222222,,,L0 Security Control 1_Common Usage_7
1,44013.00347222222,,,L0 Security Control 1_Common Usage_5
1,44013.00347222222,,,L0 Security Control 1_Common Usage_8
1,44013.00347222222,,,L0 Security Control 1_Common Usage_3
1,44013.00347222222,,,L0 Security Control 1_Common Usage_6
1,44013.00347222222,,,L0 Security Control 1_Common Usage_2
1,44013.00347222222,,,L0 Security Control 1_Common Usage_4
1,44013.00347222222,,,L0 Security Control 1_Common Usage_1
1,44013.006944444445,2.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.006944444445,,,L0 Security Control 1_Common Usage_7
1,44013.006944444445,,,L0 Security Control 1_Common Usage_5
1,44013.006944444445,,,L0 Security Control 1_Common Usage_8
1,44013.006944444445,,,L0 Security Control 1_Common Usage_3
1,44013.006944444445,,,L0 Security Control 1_Common Usage_6
1,44013.006944444445,,,L0 Security Control 1_Common Usage_2
1,44013.006944444445,,,L0 Security Control 1_Common Usage_4
1,44013.006944444445,,,L0 Security Control 1_Common Usage_1
1,44013.010416666664,3.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.010416666664,,,L0 Security Control 1_Common Usage_7
1,44013.010416666664,,,L0 Security Control 1_Common Usage_5
1,44013.010416666664,,,L0 Security Control 1_Common Usage_8
1,44013.010416666664,,,L0 Security Control 1_Common Usage_3
1,44013.010416666664,,,L0 Security Control 1_Common Usage_6
1,44013.010416666664,,,L0 Security Control 1_Common Usage_2
1,44013.010416666664,,,L0 Security Control 1_Common Usage_4
1,44013.010416666664,,,L0 Security Control 1_Common Usage_1
1,44013.01388888889,3.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.01388888889,,,L0 Security Control 1_Common Usage_7
1,44013.01388888889,,,L0 Security Control 1_Common Usage_5
1,44013.01388888889,,,L0 Security Control 1_Common Usage_8
1,44013.01388888889,,,L0 Security Control 1_Common Usage_3
1,44013.01388888889,,,L0 Security Control 1_Common Usage_6
1,44013.01388888889,,,L0 Security Control 1_Common Usage_2
1,44013.01388888889,,,L0 Security Control 1_Common Usage_4
1,44013.01388888889,,,L0 Security Control 1_Common Usage_1
1,44013.01736111111,2.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.01736111111,,,L0 Security Control 1_Common Usage_7
1,44013.01736111111,,,L0 Security Control 1_Common Usage_5
1,44013.01736111111,,,L0 Security Control 1_Common Usage_8
1,44013.01736111111,,,L0 Security Control 1_Common Usage_3
1,44013.01736111111,,,L0 Security Control 1_Common Usage_6
1,44013.01736111111,,,L0 Security Control 1_Common Usage_2
1,44013.01736111111,,,L0 Security Control 1_Common Usage_4
1,44013.01736111111,,,L0 Security Control 1_Common Usage_1
1,44013.020833333336,10.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.020833333336,,,L0 Security Control 1_Common Usage_7
1,44013.020833333336,,,L0 Security Control 1_Common Usage_5
