,ResultsFK,Time,Time_1
0,1,44012.993055555555,0
1,1,44012.99652777778,1
2,1,44013.0,1
3,1,44013.00347222222,1
4,1,44013.006944444445,1
5,1,44013.010416666664,1
6,1,44013.01388888889,1
7,1,44013.01736111111,1
8,1,44013.020833333336,1
9,1,44013.024305555555,1
10,1,44013.02777777778,2
11,1,44013.03125,2
12,1,44013.03472222222,2
13,1,44013.038194444445,2
14,1,44013.041666666664,2
15,1,44013.04513888889,3
16,1,44013.04861111111,3
17,1,44013.052083333336,3
18,1,44013.055555555555,3
19,1,44013.05902777778,3
20,1,44013.0625,2
21,1,44013.06597222222,2
22,1,44013.069444444445,2
23,1,44013.072916666664,2
24,1,44013.07638888889,2
25,1,44013.07986111111,1
26,1,44013.083333333336,1
27,1,44013.086805555555,1
28,1,44013.09027777778,1
29,1,44013.09375,1
30,1,44013.09722222222,1
31,1,44013.100694444445,1
32,1,44013.104166666664,1
33,1,44013.10763888889,1
34,1,44013.11111111111,1
35,1,44013.114583333336,1
36,1,44013.118055555555,1
37,1,44013.12152777778,1
38,1,44013.125,2
39,1,44013.12847222222,2
40,1,44013.131944444445,2
41,1,44013.135416666664,2
42,1,44013.13888888889,2
43,1,44013.14236111111,2
44,1,44013.145833333336,3
45,1,44013.149305555555,3
46,1,44013.15277777778,3
47,1,44013.15625,3
48,1,44013.15972222222,3
49,1,44013.163194444445,4
50,1,44013.166666666664,4
51,1,44013.17013888889,4
52,1,44013.17361111111,5
53,1,44013.177083333336,5
54,1,44013.180555555555,5
55,1,44013.18402777778,6
56,1,44013.1875,6
57,1,44013.19097222222,6
58,1,44013.194444444445,8
59,1,44013.197916666664,8
60,1,44013.20138888889,8
61,1,44013.20486111111,8
62,1,44013.208333333336,8
63,1,44013.211805555555,8
64,1,44013.21527777778,8
65,1,44013.21875,8
66,1,44013.22222222222,9
67,1,44013.225694444445,9
68,1,44013.229166666664,9
69,1,44013.23263888889,9
70,1,44013.23611111111,9
71,1,44013.239583333336,9
72,1,44013.243055555555,5
73,1,44013.24652777778,5
74,1,44013.25,5
75,1,44013.25347222222,5
76,1,44013.256944444445,5
77,1,44013.260416666664,3
78,1,44013.26388888889,3
79,1,44013.26736111111,1
80,1,44013.270833333336,1
81,1,44013.274305555555,1
82,1,44013.27777777778,1
