,ResultsFK,Time,Time_1,FacilityStates
0,1,44012.989583333336,0,In Use
1,1,44012.989583333336,0,Closed
2,1,44012.993055555555,0,In Use
3,1,44012.993055555555,9,Closed
4,1,44012.99652777778,1,In Use
5,1,44012.99652777778,8,Closed
6,1,44013.0,1,In Use
7,1,44013.0,8,Closed
8,1,44013.00347222222,1,In Use
9,1,44013.00347222222,8,Closed
10,1,44013.006944444445,1,In Use
11,1,44013.006944444445,8,Closed
12,1,44013.010416666664,1,In Use
13,1,44013.010416666664,8,Closed
14,1,44013.01388888889,1,In Use
15,1,44013.01388888889,8,Closed
16,1,44013.01736111111,1,In Use
17,1,44013.01736111111,8,Closed
18,1,44013.020833333336,1,In Use
19,1,44013.020833333336,8,Closed
20,1,44013.024305555555,1,In Use
21,1,44013.024305555555,8,Closed
22,1,44013.02777777778,2,In Use
23,1,44013.02777777778,7,Closed
24,1,44013.03125,2,In Use
25,1,44013.03125,7,Closed
26,1,44013.03472222222,2,In Use
27,1,44013.03472222222,7,Closed
28,1,44013.038194444445,2,In Use
29,1,44013.038194444445,7,Closed
30,1,44013.041666666664,2,In Use
31,1,44013.041666666664,7,Closed
32,1,44013.04513888889,3,In Use
33,1,44013.04513888889,6,Closed
34,1,44013.04861111111,3,In Use
35,1,44013.04861111111,6,Closed
36,1,44013.052083333336,3,In Use
37,1,44013.052083333336,6,Closed
38,1,44013.055555555555,3,In Use
39,1,44013.055555555555,6,Closed
40,1,44013.05902777778,3,In Use
41,1,44013.05902777778,6,Closed
42,1,44013.0625,2,In Use
43,1,44013.0625,7,Closed
44,1,44013.06597222222,2,In Use
45,1,44013.06597222222,7,Closed
46,1,44013.069444444445,2,In Use
47,1,44013.069444444445,7,Closed
48,1,44013.072916666664,2,In Use
49,1,44013.072916666664,7,Closed
50,1,44013.07638888889,2,In Use
51,1,44013.07638888889,7,Closed
52,1,44013.07986111111,1,In Use
53,1,44013.07986111111,8,Closed
54,1,44013.083333333336,1,In Use
55,1,44013.083333333336,8,Closed
56,1,44013.086805555555,1,In Use
57,1,44013.086805555555,8,Closed
58,1,44013.09027777778,1,In Use
59,1,44013.09027777778,8,Closed
60,1,44013.09375,1,In Use
61,1,44013.09375,8,Closed
62,1,44013.09722222222,1,In Use
63,1,44013.09722222222,8,Closed
64,1,44013.100694444445,1,In Use
65,1,44013.100694444445,8,Closed
66,1,44013.104166666664,1,In Use
67,1,44013.104166666664,8,Closed
68,1,44013.10763888889,1,In Use
69,1,44013.10763888889,8,Closed
70,1,44013.11111111111,1,In Use
71,1,44013.11111111111,8,Closed
72,1,44013.114583333336,1,In Use
73,1,44013.114583333336,8,Closed
74,1,44013.118055555555,1,In Use
75,1,44013.118055555555,8,Closed
76,1,44013.12152777778,1,In Use
77,1,44013.12152777778,8,Closed
78,1,44013.125,2,In Use
79,1,44013.125,7,Closed
80,1,44013.12847222222,2,In Use
81,1,44013.12847222222,7,Closed
82,1,44013.131944444445,2,In Use
83,1,44013.131944444445,7,Closed
84,1,44013.135416666664,2,In Use
85,1,44013.135416666664,7,Closed
86,1,44013.13888888889,2,In Use
87,1,44013.13888888889,7,Closed
88,1,44013.14236111111,2,In Use
89,1,44013.14236111111,7,Closed
90,1,44013.145833333336,3,In Use
91,1,44013.145833333336,6,Closed
92,1,44013.149305555555,3,In Use
93,1,44013.149305555555,6,Closed
94,1,44013.15277777778,3,In Use
95,1,44013.15277777778,6,Closed
96,1,44013.15625,3,In Use
97,1,44013.15625,6,Closed
98,1,44013.15972222222,3,In Use
99,1,44013.15972222222,6,Closed
100,1,44013.163194444445,4,In Use
101,1,44013.163194444445,5,Closed
102,1,44013.166666666664,4,In Use
103,1,44013.166666666664,5,Closed
104,1,44013.17013888889,4,In Use
105,1,44013.17013888889,5,Closed
106,1,44013.17361111111,5,In Use
107,1,44013.17361111111,4,Closed
108,1,44013.177083333336,5,In Use
109,1,44013.177083333336,4,Closed
110,1,44013.180555555555,5,In Use
111,1,44013.180555555555,4,Closed
112,1,44013.18402777778,6,In Use
113,1,44013.18402777778,3,Closed
114,1,44013.1875,6,In Use
115,1,44013.1875,3,Closed
116,1,44013.19097222222,6,In Use
117,1,44013.19097222222,3,Closed
118,1,44013.194444444445,8,In Use
119,1,44013.194444444445,1,Closed
120,1,44013.197916666664,8,In Use
121,1,44013.197916666664,1,Closed
122,1,44013.20138888889,8,In Use
123,1,44013.20138888889,1,Closed
124,1,44013.20486111111,8,In Use
125,1,44013.20486111111,1,Closed
126,1,44013.208333333336,8,In Use
127,1,44013.208333333336,1,Closed
128,1,44013.211805555555,8,In Use
129,1,44013.211805555555,1,Closed
130,1,44013.21527777778,8,In Use
131,1,44013.21527777778,1,Closed
132,1,44013.21875,8,In Use
133,1,44013.21875,1,Closed
134,1,44013.22222222222,9,In Use
135,1,44013.22222222222,0,Closed
136,1,44013.225694444445,9,In Use
137,1,44013.225694444445,0,Closed
138,1,44013.229166666664,9,In Use
139,1,44013.229166666664,0,Closed
140,1,44013.23263888889,9,In Use
141,1,44013.23263888889,0,Closed
142,1,44013.23611111111,9,In Use
143,1,44013.23611111111,0,Closed
144,1,44013.239583333336,9,In Use
145,1,44013.239583333336,0,Closed
146,1,44013.243055555555,5,In Use
147,1,44013.243055555555,4,Closed
148,1,44013.24652777778,5,In Use
149,1,44013.24652777778,4,Closed
150,1,44013.25,5,In Use
151,1,44013.25,4,Closed
152,1,44013.25347222222,5,In Use
153,1,44013.25347222222,4,Closed
154,1,44013.256944444445,5,In Use
155,1,44013.256944444445,4,Closed
156,1,44013.260416666664,3,In Use
157,1,44013.260416666664,6,Closed
158,1,44013.26388888889,3,In Use
159,1,44013.26388888889,6,Closed
160,1,44013.26736111111,1,In Use
161,1,44013.26736111111,8,Closed
162,1,44013.270833333336,1,In Use
163,1,44013.270833333336,8,Closed
164,1,44013.274305555555,1,In Use
165,1,44013.274305555555,8,Closed
166,1,44013.27777777778,1,In Use
167,1,44013.27777777778,8,Closed
168,1,44013.28125,1,In Use
169,1,44013.28125,8,Closed
170,1,44013.28472222222,1,In Use
171,1,44013.28472222222,8,Closed
172,1,44013.288194444445,1,In Use
173,1,44013.288194444445,8,Closed
174,1,44013.291666666664,1,In Use
175,1,44013.291666666664,8,Closed
176,1,44013.29513888889,1,In Use
177,1,44013.29513888889,8,Closed
178,1,44013.29861111111,1,In Use
179,1,44013.29861111111,8,Closed
180,1,44013.302083333336,1,In Use
