ResultsFK,Time,TStartWait,_ImmigrationType
1,44013.03472222222,0,Normal
1,44013.038194444445,21,Automatic
1,44013.038194444445,72,Normal
1,44013.041666666664,21,Automatic
1,44013.041666666664,72,Normal
1,44013.04513888889,21,Automatic
1,44013.04513888889,72,Normal
1,44013.04861111111,21,Automatic
1,44013.04861111111,72,Normal
1,44013.052083333336,21,Automatic
1,44013.052083333336,72,Normal
1,44013.055555555555,21,Automatic
1,44013.055555555555,72,Normal
1,44013.05902777778,21,Automatic
1,44013.05902777778,72,Normal
1,44013.0625,21,Automatic
1,44013.0625,72,Normal
1,44013.06597222222,21,Automatic
1,44013.06597222222,72,Normal
1,44013.069444444445,21,Automatic
1,44013.069444444445,72,Normal
1,44013.072916666664,21,Automatic
1,44013.072916666664,72,Normal
1,44013.07638888889,21,Automatic
1,44013.07638888889,72,Normal
1,44013.07986111111,0,Automatic
1,44013.07986111111,0,Normal
1,44013.083333333336,0,Automatic
1,44013.083333333336,0,Normal
1,44013.086805555555,0,Automatic
1,44013.086805555555,0,Normal
1,44013.09027777778,0,Automatic
1,44013.09027777778,0,Normal
1,44013.09375,0,Automatic
1,44013.09375,0,Normal
1,44013.09722222222,0,Automatic
1,44013.09722222222,0,Normal
1,44013.100694444445,0,Automatic
1,44013.100694444445,0,Normal
1,44013.104166666664,0,Automatic
1,44013.104166666664,0,Normal
1,44013.10763888889,0,Automatic
1,44013.10763888889,0,Normal
1,44013.11111111111,0,Automatic
1,44013.11111111111,0,Normal
1,44013.114583333336,0,Automatic
1,44013.114583333336,0,Normal
1,44013.118055555555,0,Automatic
1,44013.118055555555,0,Normal
1,44013.12152777778,0,Automatic
1,44013.12152777778,0,Normal
1,44013.125,0,Automatic
1,44013.125,0,Normal
1,44013.12847222222,0,Automatic
1,44013.12847222222,0,Normal
1,44013.131944444445,0,Automatic
1,44013.131944444445,0,Normal
1,44013.135416666664,0,Automatic
1,44013.135416666664,0,Normal
1,44013.13888888889,0,Automatic
1,44013.13888888889,0,Normal
1,44013.14236111111,0,Automatic
1,44013.14236111111,0,Normal
1,44013.145833333336,0,Automatic
1,44013.145833333336,0,Normal
1,44013.149305555555,0,Automatic
1,44013.149305555555,0,Normal
1,44013.15277777778,0,Automatic
1,44013.15277777778,0,Normal
1,44013.15625,0,Automatic
1,44013.15625,0,Normal
1,44013.15972222222,0,Automatic
1,44013.15972222222,0,Normal
1,44013.163194444445,0,Automatic
1,44013.163194444445,0,Normal
1,44013.166666666664,0,Automatic
1,44013.166666666664,0,Normal
1,44013.17013888889,0,Automatic
1,44013.17013888889,0,Normal
1,44013.17361111111,0,Automatic
1,44013.17361111111,0,Normal
1,44013.177083333336,0,Automatic
1,44013.177083333336,0,Normal
1,44013.180555555555,0,Automatic
1,44013.180555555555,0,Normal
1,44013.18402777778,0,Automatic
1,44013.18402777778,0,Normal
1,44013.1875,0,Automatic
1,44013.1875,0,Normal
1,44013.19097222222,0,Automatic
1,44013.19097222222,0,Normal
1,44013.194444444445,0,Automatic
1,44013.194444444445,0,Normal
1,44013.197916666664,0,Automatic
1,44013.197916666664,0,Normal
1,44013.20138888889,0,Automatic
1,44013.20138888889,0,Normal
1,44013.20486111111,0,Automatic
1,44013.20486111111,0,Normal
1,44013.208333333336,0,Automatic
1,44013.208333333336,0,Normal
1,44013.211805555555,0,Automatic
1,44013.211805555555,0,Normal
1,44013.21527777778,0,Automatic
1,44013.21527777778,0,Normal
1,44013.21875,0,Automatic
1,44013.21875,0,Normal
1,44013.22222222222,0,Automatic
1,44013.22222222222,0,Normal
1,44013.225694444445,0,Automatic
1,44013.225694444445,0,Normal
1,44013.229166666664,0,Automatic
1,44013.229166666664,0,Normal
1,44013.23263888889,0,Automatic
1,44013.23263888889,0,Normal
1,44013.23611111111,0,Automatic
1,44013.23611111111,0,Normal
1,44013.239583333336,0,Automatic
1,44013.239583333336,0,Normal
1,44013.243055555555,0,Automatic
1,44013.243055555555,0,Normal
1,44013.24652777778,0,Automatic
1,44013.24652777778,0,Normal
1,44013.25,0,Automatic
1,44013.25,0,Normal
1,44013.25347222222,0,Automatic
1,44013.25347222222,0,Normal
1,44013.256944444445,0,Automatic
1,44013.256944444445,0,Normal
1,44013.260416666664,0,Automatic
1,44013.260416666664,0,Normal
1,44013.26388888889,0,Automatic
1,44013.26388888889,0,Normal
1,44013.26736111111,0,Automatic
1,44013.26736111111,0,Normal
1,44013.270833333336,0,Automatic
1,44013.270833333336,0,Normal
1,44013.274305555555,0,Automatic
1,44013.274305555555,0,Normal
1,44013.27777777778,0,Automatic
1,44013.27777777778,0,Normal
1,44013.28125,0,Automatic
1,44013.28125,0,Normal
1,44013.28472222222,0,Automatic
1,44013.28472222222,0,Normal
1,44013.288194444445,0,Automatic
1,44013.288194444445,0,Normal
1,44013.291666666664,0,Automatic
1,44013.291666666664,0,Normal
1,44013.29513888889,0,Automatic
1,44013.29513888889,0,Normal
1,44013.29861111111,0,Automatic
1,44013.29861111111,0,Normal
1,44013.302083333336,0,Automatic
1,44013.302083333336,0,Normal
1,44013.305555555555,0,Automatic
1,44013.305555555555,0,Normal
1,44013.30902777778,0,Automatic
1,44013.30902777778,0,Normal
1,44013.3125,0,Automatic
1,44013.3125,0,Normal
1,44013.31597222222,0,Automatic
1,44013.31597222222,0,Normal
1,44013.319444444445,0,Automatic
1,44013.319444444445,0,Normal
1,44013.322916666664,0,Automatic
1,44013.322916666664,0,Normal
1,44013.32638888889,0,Automatic
1,44013.32638888889,0,Normal
1,44013.32986111111,0,Automatic
1,44013.32986111111,0,Normal
1,44013.333333333336,0,Automatic
1,44013.333333333336,0,Normal
1,44013.336805555555,0,Automatic
1,44013.336805555555,0,Normal
1,44013.34027777778,0,Automatic
1,44013.34027777778,0,Normal
1,44013.34375,0,Automatic
1,44013.34375,0,Normal
1,44013.34722222222,0,Automatic
1,44013.34722222222,0,Normal
1,44013.350694444445,0,Automatic
1,44013.350694444445,0,Normal
1,44013.354166666664,0,Automatic
1,44013.354166666664,0,Normal
1,44013.35763888889,0,Automatic
1,44013.35763888889,0,Normal
1,44013.36111111111,0,Automatic
1,44013.36111111111,0,Normal
1,44013.364583333336,0,Automatic
1,44013.364583333336,0,Normal
1,44013.368055555555,0,Automatic
1,44013.368055555555,0,Normal
1,44013.37152777778,0,Automatic
1,44013.37152777778,0,Normal
1,44013.375,0,Automatic
1,44013.375,0,Normal
1,44013.37847222222,0,Automatic
1,44013.37847222222,0,Normal
1,44013.381944444445,0,Automatic
1,44013.381944444445,0,Normal
1,44013.385416666664,0,Automatic
1,44013.385416666664,0,Normal
1,44013.38888888889,0,Automatic
1,44013.38888888889,0,Normal
1,44013.39236111111,0,Automatic
1,44013.39236111111,0,Normal
1,44013.395833333336,0,Automatic
1,44013.395833333336,0,Normal
1,44013.399305555555,0,Automatic
1,44013.399305555555,0,Normal
1,44013.40277777778,0,Automatic
1,44013.40277777778,0,Normal
1,44013.40625,0,Automatic
1,44013.40625,0,Normal
1,44013.40972222222,0,Automatic
1,44013.40972222222,0,Normal
1,44013.413194444445,0,Automatic
1,44013.413194444445,0,Normal
1,44013.416666666664,0,Automatic
1,44013.416666666664,0,Normal
1,44013.42013888889,0,Automatic
1,44013.42013888889,0,Normal
1,44013.42361111111,0,Automatic
1,44013.42361111111,0,Normal
1,44013.427083333336,0,Automatic
1,44013.427083333336,0,Normal
1,44013.430555555555,0,Automatic
1,44013.430555555555,0,Normal
1,44013.43402777778,0,Automatic
1,44013.43402777778,0,Normal
1,44013.4375,0,Automatic
1,44013.4375,0,Normal
1,44013.44097222222,0,Automatic
1,44013.44097222222,0,Normal
1,44013.444444444445,0,Automatic
1,44013.444444444445,0,Normal
1,44013.447916666664,0,Automatic
1,44013.447916666664,0,Normal
1,44013.45138888889,0,Automatic
1,44013.45138888889,0,Normal
1,44013.45486111111,0,Automatic
1,44013.45486111111,0,Normal
1,44013.458333333336,0,Automatic
1,44013.458333333336,0,Normal
1,44013.461805555555,0,Automatic
1,44013.461805555555,0,Normal
1,44013.46527777778,0,Automatic
1,44013.46527777778,0,Normal
1,44013.46875,0,Automatic
1,44013.46875,0,Normal
1,44013.47222222222,0,Automatic
1,44013.47222222222,0,Normal
1,44013.475694444445,0,Automatic
1,44013.475694444445,0,Normal
1,44013.479166666664,0,Automatic
1,44013.479166666664,0,Normal
1,44013.48263888889,0,Automatic
1,44013.48263888889,0,Normal
1,44013.48611111111,0,Automatic
1,44013.48611111111,0,Normal
1,44013.489583333336,0,Automatic
1,44013.489583333336,0,Normal
1,44013.493055555555,0,Automatic
1,44013.493055555555,0,Normal
1,44013.49652777778,0,Automatic
1,44013.49652777778,0,Normal
1,44013.5,0,Automatic
1,44013.5,0,Normal
1,44013.50347222222,0,Automatic
1,44013.50347222222,0,Normal
1,44013.506944444445,0,Automatic
1,44013.506944444445,0,Normal
1,44013.510416666664,0,Automatic
1,44013.510416666664,0,Normal
1,44013.51388888889,0,Automatic
1,44013.51388888889,0,Normal
1,44013.51736111111,0,Automatic
1,44013.51736111111,0,Normal
1,44013.520833333336,0,Automatic
1,44013.520833333336,0,Normal
1,44013.524305555555,0,Automatic
1,44013.524305555555,0,Normal
1,44013.52777777778,0,Automatic
1,44013.52777777778,0,Normal
1,44013.53125,23,Automatic
1,44013.53125,111,Normal
1,44013.53472222222,23,Automatic
1,44013.53472222222,111,Normal
1,44013.538194444445,23,Automatic
1,44013.538194444445,111,Normal
1,44013.541666666664,23,Automatic
1,44013.541666666664,111,Normal
1,44013.54513888889,40,Automatic
1,44013.54513888889,172,Normal
1,44013.54861111111,71,Automatic
1,44013.54861111111,337,Normal
1,44013.552083333336,71,Automatic
1,44013.552083333336,337,Normal
1,44013.555555555555,71,Automatic
1,44013.555555555555,337,Normal
1,44013.55902777778,71,Automatic
1,44013.55902777778,337,Normal
1,44013.5625,90,Automatic
1,44013.5625,428,Normal
1,44013.56597222222,90,Automatic
1,44013.56597222222,428,Normal
1,44013.569444444445,90,Automatic
1,44013.569444444445,428,Normal
1,44013.572916666664,67,Automatic
1,44013.572916666664,317,Normal
