ResultsFK,Time,TStartWait_QueueReferenceEndTime,_ImmigrationType
1,44013.072916666664,,Automatic
1,44013.07638888889,72.0,Normal
1,44013.07638888889,21.0,Automatic
1,44013.07986111111,52.0,Normal
1,44013.07986111111,,Automatic
1,44013.083333333336,31.0,Normal
1,44013.083333333336,,Automatic
1,44013.086805555555,8.0,Normal
1,44013.086805555555,,Automatic
1,44013.09027777778,,Normal
1,44013.09027777778,,Automatic
1,44013.09375,,Normal
1,44013.09375,,Automatic
1,44013.09722222222,,Normal
1,44013.09722222222,,Automatic
1,44013.100694444445,,Normal
1,44013.100694444445,,Automatic
1,44013.104166666664,,Normal
1,44013.104166666664,,Automatic
1,44013.10763888889,,Normal
1,44013.10763888889,,Automatic
1,44013.11111111111,,Normal
1,44013.11111111111,,Automatic
1,44013.114583333336,,Normal
1,44013.114583333336,,Automatic
1,44013.118055555555,,Normal
1,44013.118055555555,,Automatic
1,44013.12152777778,,Normal
1,44013.12152777778,,Automatic
1,44013.125,,Normal
1,44013.125,,Automatic
1,44013.12847222222,,Normal
1,44013.12847222222,,Automatic
1,44013.131944444445,,Normal
1,44013.131944444445,,Automatic
1,44013.135416666664,,Normal
1,44013.135416666664,,Automatic
1,44013.13888888889,,Normal
1,44013.13888888889,,Automatic
1,44013.14236111111,,Normal
1,44013.14236111111,,Automatic
1,44013.145833333336,,Normal
1,44013.145833333336,,Automatic
1,44013.149305555555,,Normal
1,44013.149305555555,,Automatic
1,44013.15277777778,,Normal
1,44013.15277777778,,Automatic
1,44013.15625,,Normal
1,44013.15625,,Automatic
1,44013.15972222222,,Normal
1,44013.15972222222,,Automatic
1,44013.163194444445,,Normal
1,44013.163194444445,,Automatic
1,44013.166666666664,,Normal
1,44013.166666666664,,Automatic
1,44013.17013888889,,Normal
1,44013.17013888889,,Automatic
1,44013.17361111111,,Normal
1,44013.17361111111,,Automatic
1,44013.177083333336,,Normal
1,44013.177083333336,,Automatic
1,44013.180555555555,,Normal
1,44013.180555555555,,Automatic
1,44013.18402777778,,Normal
1,44013.18402777778,,Automatic
1,44013.1875,,Normal
1,44013.1875,,Automatic
1,44013.19097222222,,Normal
1,44013.19097222222,,Automatic
1,44013.194444444445,,Normal
1,44013.194444444445,,Automatic
1,44013.197916666664,,Normal
1,44013.197916666664,,Automatic
1,44013.20138888889,,Normal
1,44013.20138888889,,Automatic
1,44013.20486111111,,Normal
1,44013.20486111111,,Automatic
1,44013.208333333336,,Normal
1,44013.208333333336,,Automatic
1,44013.211805555555,,Normal
1,44013.211805555555,,Automatic
1,44013.21527777778,,Normal
1,44013.21527777778,,Automatic
1,44013.21875,,Normal
1,44013.21875,,Automatic
1,44013.22222222222,,Normal
1,44013.22222222222,,Automatic
1,44013.225694444445,,Normal
1,44013.225694444445,,Automatic
1,44013.229166666664,,Normal
1,44013.229166666664,,Automatic
1,44013.23263888889,,Normal
1,44013.23263888889,,Automatic
1,44013.23611111111,,Normal
1,44013.23611111111,,Automatic
1,44013.239583333336,,Normal
1,44013.239583333336,,Automatic
1,44013.243055555555,,Normal
1,44013.243055555555,,Automatic
1,44013.24652777778,,Normal
1,44013.24652777778,,Automatic
1,44013.25,,Normal
1,44013.25,,Automatic
1,44013.25347222222,,Normal
1,44013.25347222222,,Automatic
1,44013.256944444445,,Normal
1,44013.256944444445,,Automatic
1,44013.260416666664,,Normal
1,44013.260416666664,,Automatic
1,44013.26388888889,,Normal
1,44013.26388888889,,Automatic
1,44013.26736111111,,Normal
1,44013.26736111111,,Automatic
1,44013.270833333336,,Normal
1,44013.270833333336,,Automatic
1,44013.274305555555,,Normal
1,44013.274305555555,,Automatic
1,44013.27777777778,,Normal
1,44013.27777777778,,Automatic
1,44013.28125,,Normal
1,44013.28125,,Automatic
1,44013.28472222222,,Normal
1,44013.28472222222,,Automatic
1,44013.288194444445,,Normal
1,44013.288194444445,,Automatic
1,44013.291666666664,,Normal
1,44013.291666666664,,Automatic
1,44013.29513888889,,Normal
1,44013.29513888889,,Automatic
1,44013.29861111111,,Normal
1,44013.29861111111,,Automatic
1,44013.302083333336,,Normal
1,44013.302083333336,,Automatic
1,44013.305555555555,,Normal
1,44013.305555555555,,Automatic
1,44013.30902777778,,Normal
1,44013.30902777778,,Automatic
1,44013.3125,,Normal
1,44013.3125,,Automatic
1,44013.31597222222,,Normal
1,44013.31597222222,,Automatic
