ResultsFK,Time,TStartWait_TFinish,CustomColumnID_Assignments_T1_AssignmentBegin__CustomColumnID_Assignments_T2_AssignmentEnd_,BlockIDResourceID,_ImmigrationType
1,44013.072916666664,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.072916666664,,,L0 Immigration Control 1_Normal_10,Normal
1,44013.072916666664,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.072916666664,,,L0 Immigration Control 1_Normal_08,Normal
1,44013.072916666664,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.072916666664,,,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.072916666664,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.072916666664,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.072916666664,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.072916666664,,,L0 Immigration Control 1_Normal_07,Normal
1,44013.072916666664,,,L0 Immigration Control 1_Normal_09,Normal
1,44013.07638888889,10.0,10.0,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.07638888889,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.07638888889,18.0,18.0,L0 Immigration Control 1_Normal_10,Normal
1,44013.07638888889,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.07638888889,18.0,18.0,L0 Immigration Control 1_Normal_08,Normal
1,44013.07638888889,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.07638888889,11.0,11.0,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.07638888889,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.07638888889,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.07638888889,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.07638888889,18.0,18.0,L0 Immigration Control 1_Normal_07,Normal
1,44013.07638888889,18.0,18.0,L0 Immigration Control 1_Normal_09,Normal
1,44013.07986111111,,10.0,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.07986111111,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.07986111111,13.0,18.0,L0 Immigration Control 1_Normal_10,Normal
1,44013.07986111111,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.07986111111,13.0,18.0,L0 Immigration Control 1_Normal_08,Normal
1,44013.07986111111,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.07986111111,,11.0,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.07986111111,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.07986111111,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.07986111111,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.07986111111,13.0,18.0,L0 Immigration Control 1_Normal_07,Normal
1,44013.07986111111,13.0,18.0,L0 Immigration Control 1_Normal_09,Normal
1,44013.083333333336,,10.0,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.083333333336,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.083333333336,8.0,18.0,L0 Immigration Control 1_Normal_10,Normal
1,44013.083333333336,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.083333333336,8.0,18.0,L0 Immigration Control 1_Normal_08,Normal
1,44013.083333333336,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.083333333336,,11.0,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.083333333336,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.083333333336,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.083333333336,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.083333333336,8.0,18.0,L0 Immigration Control 1_Normal_07,Normal
1,44013.083333333336,7.0,18.0,L0 Immigration Control 1_Normal_09,Normal
1,44013.086805555555,,10.0,L0 Immigration Control 1_Automatic_2,Automatic
1,44013.086805555555,,,L0 Immigration Control 1_Normal_06,Normal
1,44013.086805555555,2.0,18.0,L0 Immigration Control 1_Normal_10,Normal
1,44013.086805555555,,,L0 Immigration Control 1_Normal_05,Normal
1,44013.086805555555,2.0,18.0,L0 Immigration Control 1_Normal_08,Normal
1,44013.086805555555,,,L0 Immigration Control 1_Normal_04,Normal
1,44013.086805555555,,11.0,L0 Immigration Control 1_Automatic_1,Automatic
1,44013.086805555555,,,L0 Immigration Control 1_Normal_03,Normal
1,44013.086805555555,,,L0 Immigration Control 1_Normal_01,Normal
1,44013.086805555555,,,L0 Immigration Control 1_Normal_02,Normal
1,44013.086805555555,2.0,18.0,L0 Immigration Control 1_Normal_07,Normal
1,44013.086805555555,2.0,18.0,L0 Immigration Control 1_Normal_09,Normal
