,ResultsFK,Time,TStartWait_TFinish,CustomColumnID_Assignments_T1_AssignmentBegin__CustomColumnID_Assignments_T2_AssignmentEnd_,BlockIDResourceID,_ImmigrationType
0,1,44013.072916666664,,,L0 Immigration Control 1_Automatic_2,Automatic
1,1,44013.072916666664,,,L0 Immigration Control 1_Normal_06,Normal
2,1,44013.072916666664,,,L0 Immigration Control 1_Normal_10,Normal
3,1,44013.072916666664,,,L0 Immigration Control 1_Normal_05,Normal
4,1,44013.072916666664,,,L0 Immigration Control 1_Normal_08,Normal
5,1,44013.072916666664,,,L0 Immigration Control 1_Normal_04,Normal
6,1,44013.072916666664,,,L0 Immigration Control 1_Automatic_1,Automatic
7,1,44013.072916666664,,,L0 Immigration Control 1_Normal_03,Normal
8,1,44013.072916666664,,,L0 Immigration Control 1_Normal_01,Normal
9,1,44013.072916666664,,,L0 Immigration Control 1_Normal_02,Normal
10,1,44013.072916666664,,,L0 Immigration Control 1_Normal_07,Normal
11,1,44013.072916666664,,,L0 Immigration Control 1_Normal_09,Normal
12,1,44013.07638888889,10.0,10.0,L0 Immigration Control 1_Automatic_2,Automatic
13,1,44013.07638888889,,,L0 Immigration Control 1_Normal_06,Normal
14,1,44013.07638888889,18.0,18.0,L0 Immigration Control 1_Normal_10,Normal
15,1,44013.07638888889,,,L0 Immigration Control 1_Normal_05,Normal
16,1,44013.07638888889,18.0,18.0,L0 Immigration Control 1_Normal_08,Normal
17,1,44013.07638888889,,,L0 Immigration Control 1_Normal_04,Normal
18,1,44013.07638888889,11.0,11.0,L0 Immigration Control 1_Automatic_1,Automatic
19,1,44013.07638888889,,,L0 Immigration Control 1_Normal_03,Normal
20,1,44013.07638888889,,,L0 Immigration Control 1_Normal_01,Normal
21,1,44013.07638888889,,,L0 Immigration Control 1_Normal_02,Normal
22,1,44013.07638888889,18.0,18.0,L0 Immigration Control 1_Normal_07,Normal
23,1,44013.07638888889,18.0,18.0,L0 Immigration Control 1_Normal_09,Normal
24,1,44013.07986111111,,10.0,L0 Immigration Control 1_Automatic_2,Automatic
25,1,44013.07986111111,,,L0 Immigration Control 1_Normal_06,Normal
26,1,44013.07986111111,13.0,18.0,L0 Immigration Control 1_Normal_10,Normal
27,1,44013.07986111111,,,L0 Immigration Control 1_Normal_05,Normal
28,1,44013.07986111111,13.0,18.0,L0 Immigration Control 1_Normal_08,Normal
29,1,44013.07986111111,,,L0 Immigration Control 1_Normal_04,Normal
30,1,44013.07986111111,,11.0,L0 Immigration Control 1_Automatic_1,Automatic
31,1,44013.07986111111,,,L0 Immigration Control 1_Normal_03,Normal
32,1,44013.07986111111,,,L0 Immigration Control 1_Normal_01,Normal
33,1,44013.07986111111,,,L0 Immigration Control 1_Normal_02,Normal
34,1,44013.07986111111,13.0,18.0,L0 Immigration Control 1_Normal_07,Normal
35,1,44013.07986111111,13.0,18.0,L0 Immigration Control 1_Normal_09,Normal
36,1,44013.083333333336,,10.0,L0 Immigration Control 1_Automatic_2,Automatic
37,1,44013.083333333336,,,L0 Immigration Control 1_Normal_06,Normal
