ResultsFK,Time,Time_1,_ImmigrationType
1,44013.072916666664,0,Automatic
1,44013.07638888889,4,Normal
1,44013.07638888889,2,Automatic
1,44013.07986111111,4,Normal
1,44013.07986111111,2,Automatic
1,44013.083333333336,4,Normal
1,44013.083333333336,2,Automatic
1,44013.086805555555,4,Normal
1,44013.086805555555,2,Automatic
1,44013.09027777778,0,Normal
1,44013.09027777778,0,Automatic
1,44013.09375,0,Normal
1,44013.09375,0,Automatic
1,44013.09722222222,0,Normal
1,44013.09722222222,0,Automatic
1,44013.100694444445,0,Normal
1,44013.100694444445,0,Automatic
1,44013.104166666664,0,Normal
1,44013.104166666664,0,Automatic
1,44013.10763888889,0,Normal
1,44013.10763888889,0,Automatic
1,44013.11111111111,0,Normal
1,44013.11111111111,0,Automatic
1,44013.114583333336,0,Normal
1,44013.114583333336,0,Automatic
1,44013.118055555555,0,Normal
1,44013.118055555555,0,Automatic
1,44013.12152777778,0,Normal
1,44013.12152777778,0,Automatic
1,44013.125,0,Normal
1,44013.125,0,Automatic
1,44013.12847222222,0,Normal
1,44013.12847222222,0,Automatic
1,44013.131944444445,0,Normal
1,44013.131944444445,0,Automatic
1,44013.135416666664,0,Normal
1,44013.135416666664,0,Automatic
1,44013.13888888889,0,Normal
1,44013.13888888889,0,Automatic
1,44013.14236111111,0,Normal
1,44013.14236111111,0,Automatic
1,44013.145833333336,0,Normal
1,44013.145833333336,0,Automatic
1,44013.149305555555,0,Normal
1,44013.149305555555,0,Automatic
1,44013.15277777778,0,Normal
1,44013.15277777778,0,Automatic
1,44013.15625,0,Normal
1,44013.15625,0,Automatic
1,44013.15972222222,0,Normal
1,44013.15972222222,0,Automatic
1,44013.163194444445,0,Normal
1,44013.163194444445,0,Automatic
1,44013.166666666664,0,Normal
1,44013.166666666664,0,Automatic
1,44013.17013888889,0,Normal
1,44013.17013888889,0,Automatic
1,44013.17361111111,0,Normal
1,44013.17361111111,0,Automatic
1,44013.177083333336,0,Normal
1,44013.177083333336,0,Automatic
1,44013.180555555555,0,Normal
1,44013.180555555555,0,Automatic
1,44013.18402777778,0,Normal
1,44013.18402777778,0,Automatic
1,44013.1875,0,Normal
