ResultsFK,Time,Time_1,FacilityStates,_ImmigrationType
1,44013.069444444445,0,Idle,Normal
1,44013.069444444445,0,Idle,Automatic
1,44013.069444444445,0,Closed,Normal
1,44013.069444444445,0,In Use,Automatic
1,44013.069444444445,0,Closed,Automatic
1,44013.072916666664,0,In Use,Normal
1,44013.072916666664,0,Idle,Normal
1,44013.072916666664,0,Idle,Automatic
1,44013.072916666664,10,Closed,Normal
1,44013.072916666664,0,In Use,Automatic
1,44013.072916666664,2,Closed,Automatic
1,44013.07638888889,4,In Use,Normal
1,44013.07638888889,0,Idle,Normal
1,44013.07638888889,0,Idle,Automatic
1,44013.07638888889,6,Closed,Normal
1,44013.07638888889,2,In Use,Automatic
1,44013.07638888889,0,Closed,Automatic
1,44013.07986111111,4,In Use,Normal
1,44013.07986111111,0,Idle,Normal
1,44013.07986111111,2,Idle,Automatic
1,44013.07986111111,6,Closed,Normal
1,44013.07986111111,0,In Use,Automatic
1,44013.07986111111,0,Closed,Automatic
1,44013.083333333336,4,In Use,Normal
1,44013.083333333336,0,Idle,Normal
1,44013.083333333336,2,Idle,Automatic
1,44013.083333333336,6,Closed,Normal
1,44013.083333333336,0,In Use,Automatic
1,44013.083333333336,0,Closed,Automatic
1,44013.086805555555,4,In Use,Normal
1,44013.086805555555,0,Idle,Normal
1,44013.086805555555,2,Idle,Automatic
1,44013.086805555555,6,Closed,Normal
1,44013.086805555555,0,In Use,Automatic
1,44013.086805555555,0,Closed,Automatic
1,44013.09027777778,0,In Use,Normal
1,44013.09027777778,0,Idle,Normal
1,44013.09027777778,0,Idle,Automatic
1,44013.09027777778,10,Closed,Normal
1,44013.09027777778,0,In Use,Automatic
1,44013.09027777778,2,Closed,Automatic
1,44013.09375,0,In Use,Normal
1,44013.09375,0,Idle,Normal
1,44013.09375,0,Idle,Automatic
1,44013.09375,10,Closed,Normal
1,44013.09375,0,In Use,Automatic
1,44013.09375,2,Closed,Automatic
1,44013.09722222222,0,In Use,Normal
1,44013.09722222222,0,Idle,Normal
1,44013.09722222222,0,Idle,Automatic
1,44013.09722222222,10,Closed,Normal
1,44013.09722222222,0,In Use,Automatic
1,44013.09722222222,2,Closed,Automatic
1,44013.100694444445,0,In Use,Normal
1,44013.100694444445,0,Idle,Normal
1,44013.100694444445,0,Idle,Automatic
1,44013.100694444445,10,Closed,Normal
1,44013.100694444445,0,In Use,Automatic
1,44013.100694444445,2,Closed,Automatic
1,44013.104166666664,0,In Use,Normal
1,44013.104166666664,0,Idle,Normal
1,44013.104166666664,0,Idle,Automatic
1,44013.104166666664,10,Closed,Normal
1,44013.104166666664,0,In Use,Automatic
1,44013.104166666664,2,Closed,Automatic
1,44013.10763888889,0,In Use,Normal
1,44013.10763888889,0,Idle,Normal
1,44013.10763888889,0,Idle,Automatic
1,44013.10763888889,10,Closed,Normal
1,44013.10763888889,0,In Use,Automatic
1,44013.10763888889,2,Closed,Automatic
1,44013.11111111111,0,In Use,Normal
1,44013.11111111111,0,Idle,Normal
1,44013.11111111111,0,Idle,Automatic
1,44013.11111111111,10,Closed,Normal
1,44013.11111111111,0,In Use,Automatic
1,44013.11111111111,2,Closed,Automatic
1,44013.114583333336,0,In Use,Normal
1,44013.114583333336,0,Idle,Normal
1,44013.114583333336,0,Idle,Automatic
1,44013.114583333336,10,Closed,Normal
1,44013.114583333336,0,In Use,Automatic
1,44013.114583333336,2,Closed,Automatic
