,ResultsFK,Time,TStartTransact
0,1,44012.95486111111,0
1,1,44012.958333333336,1
2,1,44012.961805555555,5
3,1,44012.96527777778,14
4,1,44012.96875,21
5,1,44012.97222222222,29
6,1,44012.975694444445,37
7,1,44012.979166666664,48
8,1,44012.98263888889,60
9,1,44012.98611111111,67
10,1,44012.989583333336,81
11,1,44012.993055555555,97
12,1,44012.99652777778,119
13,1,44013.0,137
14,1,44013.00347222222,155
15,1,44013.006944444445,170
16,1,44013.010416666664,190
17,1,44013.01388888889,216
18,1,44013.01736111111,240
19,1,44013.020833333336,254
20,1,44013.024305555555,268
21,1,44013.02777777778,279
22,1,44013.03125,279
23,1,44013.03472222222,286
24,1,44013.038194444445,281
25,1,44013.041666666664,278
26,1,44013.04513888889,268
27,1,44013.04861111111,250
28,1,44013.052083333336,235
29,1,44013.055555555555,206
30,1,44013.05902777778,184
31,1,44013.0625,163
32,1,44013.06597222222,143
33,1,44013.069444444445,136
34,1,44013.072916666664,127
35,1,44013.07638888889,111
36,1,44013.07986111111,99
37,1,44013.083333333336,97
38,1,44013.086805555555,102
39,1,44013.09027777778,115
40,1,44013.09375,122
41,1,44013.09722222222,137
42,1,44013.100694444445,145
43,1,44013.104166666664,160
44,1,44013.10763888889,182
45,1,44013.11111111111,200
46,1,44013.114583333336,222
47,1,44013.118055555555,245
48,1,44013.12152777778,273
49,1,44013.125,294
50,1,44013.12847222222,311
51,1,44013.131944444445,327
52,1,44013.135416666664,355
53,1,44013.13888888889,383
54,1,44013.14236111111,417
55,1,44013.145833333336,458
56,1,44013.149305555555,485
57,1,44013.15277777778,507
58,1,44013.15625,562
59,1,44013.15972222222,600
60,1,44013.163194444445,644
61,1,44013.166666666664,693
62,1,44013.17013888889,743
63,1,44013.17361111111,793
64,1,44013.177083333336,825
65,1,44013.180555555555,852
66,1,44013.18402777778,884
67,1,44013.1875,926
68,1,44013.19097222222,947
69,1,44013.194444444445,988
70,1,44013.197916666664,994
71,1,44013.20138888889,1016
72,1,44013.20486111111,1012
73,1,44013.208333333336,981
74,1,44013.211805555555,942
75,1,44013.21527777778,909
76,1,44013.21875,872
77,1,44013.22222222222,833
78,1,44013.225694444445,772
79,1,44013.229166666664,683
80,1,44013.23263888889,618
81,1,44013.23611111111,530
82,1,44013.239583333336,449
83,1,44013.243055555555,361
84,1,44013.24652777778,288
85,1,44013.25,244
86,1,44013.25347222222,204
87,1,44013.256944444445,157
88,1,44013.260416666664,118
89,1,44013.26388888889,84
90,1,44013.26736111111,65
91,1,44013.270833333336,60
92,1,44013.274305555555,63
93,1,44013.27777777778,71
94,1,44013.28125,78
95,1,44013.28472222222,93
96,1,44013.288194444445,115
97,1,44013.291666666664,123
98,1,44013.29513888889,141
99,1,44013.29861111111,169
100,1,44013.302083333336,195
101,1,44013.305555555555,224
102,1,44013.30902777778,246
103,1,44013.3125,274
104,1,44013.31597222222,288
105,1,44013.319444444445,305
106,1,44013.322916666664,325
107,1,44013.32638888889,333
108,1,44013.32986111111,333
109,1,44013.333333333336,353
110,1,44013.336805555555,371
111,1,44013.34027777778,384
112,1,44013.34375,389
113,1,44013.34722222222,401
114,1,44013.350694444445,413
115,1,44013.354166666664,412
116,1,44013.35763888889,432
117,1,44013.36111111111,443
118,1,44013.364583333336,458
119,1,44013.368055555555,483
120,1,44013.37152777778,513
121,1,44013.375,527
122,1,44013.37847222222,532
123,1,44013.381944444445,521
124,1,44013.385416666664,537
125,1,44013.38888888889,530
126,1,44013.39236111111,529
127,1,44013.395833333336,530
128,1,44013.399305555555,500
129,1,44013.40277777778,479
130,1,44013.40625,448
131,1,44013.40972222222,404
132,1,44013.413194444445,362
133,1,44013.416666666664,321
134,1,44013.42013888889,288
135,1,44013.42361111111,273
136,1,44013.427083333336,242
137,1,44013.430555555555,224
138,1,44013.43402777778,208
139,1,44013.4375,199
140,1,44013.44097222222,207
141,1,44013.444444444445,219
142,1,44013.447916666664,229
143,1,44013.45138888889,256
144,1,44013.45486111111,266
145,1,44013.458333333336,293
146,1,44013.461805555555,320
147,1,44013.46527777778,343
148,1,44013.46875,370
149,1,44013.47222222222,381
150,1,44013.475694444445,405
151,1,44013.479166666664,425
152,1,44013.48263888889,439
153,1,44013.48611111111,447
154,1,44013.489583333336,463
155,1,44013.493055555555,471
156,1,44013.49652777778,479
157,1,44013.5,491
158,1,44013.50347222222,503
159,1,44013.506944444445,523
160,1,44013.510416666664,540
161,1,44013.51388888889,573
162,1,44013.51736111111,605
163,1,44013.520833333336,640
164,1,44013.524305555555,678
165,1,44013.52777777778,734
166,1,44013.53125,777
167,1,44013.53472222222,827
168,1,44013.538194444445,902
169,1,44013.541666666664,925
170,1,44013.54513888889,935
171,1,44013.54861111111,929
172,1,44013.552083333336,920
173,1,44013.555555555555,934
174,1,44013.55902777778,892
175,1,44013.5625,844
176,1,44013.56597222222,797
177,1,44013.569444444445,728
178,1,44013.572916666664,673
179,1,44013.57638888889,615
180,1,44013.57986111111,535
181,1,44013.583333333336,497
182,1,44013.586805555555,464
183,1,44013.59027777778,443
184,1,44013.59375,418
185,1,44013.59722222222,377
186,1,44013.600694444445,380
187,1,44013.604166666664,385
188,1,44013.60763888889,396
189,1,44013.61111111111,412
190,1,44013.614583333336,424
191,1,44013.618055555555,439
192,1,44013.62152777778,466
193,1,44013.625,479
194,1,44013.62847222222,499
195,1,44013.631944444445,499
196,1,44013.635416666664,503
197,1,44013.63888888889,497
198,1,44013.64236111111,481
199,1,44013.645833333336,481
200,1,44013.649305555555,483
201,1,44013.65277777778,478
202,1,44013.65625,468
203,1,44013.65972222222,460
204,1,44013.663194444445,457
205,1,44013.666666666664,460
206,1,44013.67013888889,460
207,1,44013.67361111111,466
208,1,44013.677083333336,488
209,1,44013.680555555555,509
210,1,44013.68402777778,546
211,1,44013.6875,571
212,1,44013.69097222222,582
213,1,44013.694444444445,610
214,1,44013.697916666664,647
215,1,44013.70138888889,685
216,1,44013.70486111111,708
217,1,44013.708333333336,727
218,1,44013.711805555555,740
219,1,44013.71527777778,776
220,1,44013.71875,791
221,1,44013.72222222222,816
222,1,44013.725694444445,824
223,1,44013.729166666664,828
224,1,44013.73263888889,840
225,1,44013.73611111111,839
226,1,44013.739583333336,829
227,1,44013.743055555555,806
228,1,44013.74652777778,800
229,1,44013.75,786
230,1,44013.75347222222,778
231,1,44013.756944444445,748
232,1,44013.760416666664,713
233,1,44013.76388888889,680
234,1,44013.76736111111,652
235,1,44013.770833333336,609
236,1,44013.774305555555,570
237,1,44013.77777777778,541
238,1,44013.78125,513
239,1,44013.78472222222,479
240,1,44013.788194444445,433
241,1,44013.791666666664,396
242,1,44013.79513888889,345
243,1,44013.79861111111,297
244,1,44013.802083333336,262
245,1,44013.805555555555,220
246,1,44013.80902777778,181
247,1,44013.8125,156
248,1,44013.81597222222,128
249,1,44013.819444444445,93
250,1,44013.822916666664,60
251,1,44013.82638888889,39
252,1,44013.82986111111,21
253,1,44013.833333333336,3
