ResultsFK,Time,TStartTransact
1,44012.958333333336,1
1,44012.961805555555,5
1,44012.96527777778,14
1,44012.96875,21
1,44012.97222222222,29
1,44012.975694444445,37
1,44012.979166666664,48
1,44012.98263888889,60
1,44012.98611111111,67
1,44012.989583333336,81
1,44012.993055555555,97
1,44012.99652777778,119
1,44013.0,137
1,44013.00347222222,155
1,44013.006944444445,170
1,44013.010416666664,190
1,44013.01388888889,216
1,44013.01736111111,240
1,44013.020833333336,254
1,44013.024305555555,268
1,44013.02777777778,279
1,44013.03125,279
1,44013.03472222222,286
1,44013.038194444445,281
1,44013.041666666664,278
1,44013.04513888889,268
1,44013.04861111111,250
1,44013.052083333336,235
1,44013.055555555555,206
1,44013.05902777778,184
1,44013.0625,163
1,44013.06597222222,143
1,44013.069444444445,136
1,44013.072916666664,127
1,44013.07638888889,111
1,44013.07986111111,99
1,44013.083333333336,97
1,44013.086805555555,102
1,44013.09027777778,115
1,44013.09375,122
1,44013.09722222222,137
1,44013.100694444445,145
1,44013.104166666664,160
1,44013.10763888889,182
1,44013.11111111111,200
1,44013.114583333336,222
1,44013.118055555555,245
1,44013.12152777778,273
1,44013.125,294
1,44013.12847222222,311
1,44013.131944444445,327
1,44013.135416666664,355
1,44013.13888888889,383
1,44013.14236111111,417
1,44013.145833333336,458
1,44013.149305555555,485
1,44013.15277777778,507
1,44013.15625,562
1,44013.15972222222,600
1,44013.163194444445,644
1,44013.166666666664,693
1,44013.17013888889,743
1,44013.17361111111,793
1,44013.177083333336,825
1,44013.180555555555,852
1,44013.18402777778,884
1,44013.1875,926
1,44013.19097222222,947
1,44013.194444444445,988
1,44013.197916666664,994
1,44013.20138888889,1016
1,44013.20486111111,1012
1,44013.208333333336,981
1,44013.211805555555,942
1,44013.21527777778,909
1,44013.21875,872
1,44013.22222222222,833
1,44013.225694444445,772
1,44013.229166666664,683
1,44013.23263888889,618
1,44013.23611111111,530
1,44013.239583333336,449
1,44013.243055555555,361
1,44013.24652777778,288
1,44013.25,244
1,44013.25347222222,204
1,44013.256944444445,157
1,44013.260416666664,118
1,44013.26388888889,84
1,44013.26736111111,65
1,44013.270833333336,60
1,44013.274305555555,63
1,44013.27777777778,71
1,44013.28125,78
1,44013.28472222222,93
1,44013.288194444445,115
1,44013.291666666664,123
1,44013.29513888889,141
1,44013.29861111111,169
1,44013.302083333336,195
1,44013.305555555555,224
1,44013.30902777778,246
1,44013.3125,274
1,44013.31597222222,288
1,44013.319444444445,305
1,44013.322916666664,325
1,44013.32638888889,333
1,44013.32986111111,333
1,44013.333333333336,353
1,44013.336805555555,371
1,44013.34027777778,384
1,44013.34375,389
1,44013.34722222222,401
1,44013.350694444445,413
1,44013.354166666664,412
1,44013.35763888889,432
1,44013.36111111111,443
1,44013.364583333336,458
1,44013.368055555555,483
