ResultsFK,X,TransactionTime,BlockIDResourceID
1,0.0,,L0 Gate Lounge 1_Gate_Lounge_01
1,0.0,,L0 Gate Lounge 1_Gate_Lounge_04
1,0.0,,L0 Gate Lounge 1_Gate_Lounge_15
1,0.0,,L0 Gate Lounge 1_Gate_Lounge_12
1,0.0,,L0 Gate Lounge 1_Gate_Lounge_13
1,0.0,,L0 Gate Lounge 1_Gate_Lounge_14
1,0.0,13.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.0,,L0 Gate Lounge 1_Gate_Lounge_03
1,0.0,,L0 Gate Lounge 1_Gate_Lounge_09
1,0.0,,L0 Gate Lounge 1_Gate_Lounge_10
1,0.0,9.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.0,,L0 Gate Lounge 1_Gate_Lounge_02
1,0.0,9.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.0,,L0 Gate Lounge 1_Gate_Lounge_08
1,0.003472222222222222,,L0 Gate Lounge 1_Gate_Lounge_11
1,0.003472222222222222,,L0 Gate Lounge 1_Gate_Lounge_01
1,0.003472222222222222,,L0 Gate Lounge 1_Gate_Lounge_04
1,0.003472222222222222,,L0 Gate Lounge 1_Gate_Lounge_15
1,0.003472222222222222,,L0 Gate Lounge 1_Gate_Lounge_12
1,0.003472222222222222,,L0 Gate Lounge 1_Gate_Lounge_13
1,0.003472222222222222,,L0 Gate Lounge 1_Gate_Lounge_14
1,0.003472222222222222,11.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.003472222222222222,,L0 Gate Lounge 1_Gate_Lounge_03
1,0.003472222222222222,1.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.003472222222222222,,L0 Gate Lounge 1_Gate_Lounge_10
1,0.003472222222222222,9.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.003472222222222222,3.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.003472222222222222,10.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.003472222222222222,1.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.006944444444444444,,L0 Gate Lounge 1_Gate_Lounge_11
1,0.006944444444444444,,L0 Gate Lounge 1_Gate_Lounge_01
1,0.006944444444444444,,L0 Gate Lounge 1_Gate_Lounge_04
1,0.006944444444444444,,L0 Gate Lounge 1_Gate_Lounge_15
1,0.006944444444444444,,L0 Gate Lounge 1_Gate_Lounge_12
1,0.006944444444444444,,L0 Gate Lounge 1_Gate_Lounge_13
1,0.006944444444444444,,L0 Gate Lounge 1_Gate_Lounge_14
1,0.006944444444444444,10.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.006944444444444444,,L0 Gate Lounge 1_Gate_Lounge_03
1,0.006944444444444444,2.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.006944444444444444,1.0,L0 Gate Lounge 1_Gate_Lounge_10
1,0.006944444444444444,3.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.006944444444444444,6.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.006944444444444444,9.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.006944444444444444,4.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.010416666666666666,,L0 Gate Lounge 1_Gate_Lounge_11
1,0.010416666666666666,,L0 Gate Lounge 1_Gate_Lounge_01
1,0.010416666666666666,,L0 Gate Lounge 1_Gate_Lounge_04
1,0.010416666666666666,,L0 Gate Lounge 1_Gate_Lounge_15
1,0.010416666666666666,,L0 Gate Lounge 1_Gate_Lounge_12
1,0.010416666666666666,,L0 Gate Lounge 1_Gate_Lounge_13
1,0.010416666666666666,,L0 Gate Lounge 1_Gate_Lounge_14
1,0.010416666666666666,21.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.010416666666666666,7.0,L0 Gate Lounge 1_Gate_Lounge_03
1,0.010416666666666666,4.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.010416666666666666,2.0,L0 Gate Lounge 1_Gate_Lounge_10
1,0.010416666666666666,15.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.010416666666666666,3.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.010416666666666666,13.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.010416666666666666,9.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.013888888888888888,,L0 Gate Lounge 1_Gate_Lounge_11
1,0.013888888888888888,,L0 Gate Lounge 1_Gate_Lounge_01
1,0.013888888888888888,5.0,L0 Gate Lounge 1_Gate_Lounge_04
1,0.013888888888888888,4.0,L0 Gate Lounge 1_Gate_Lounge_15
1,0.013888888888888888,,L0 Gate Lounge 1_Gate_Lounge_12
1,0.013888888888888888,,L0 Gate Lounge 1_Gate_Lounge_13
1,0.013888888888888888,,L0 Gate Lounge 1_Gate_Lounge_14
1,0.013888888888888888,12.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.013888888888888888,3.0,L0 Gate Lounge 1_Gate_Lounge_03
1,0.013888888888888888,4.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.013888888888888888,5.0,L0 Gate Lounge 1_Gate_Lounge_10
1,0.013888888888888888,13.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.013888888888888888,13.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.013888888888888888,21.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.013888888888888888,14.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.017361111111111112,5.0,L0 Gate Lounge 1_Gate_Lounge_11
1,0.017361111111111112,1.0,L0 Gate Lounge 1_Gate_Lounge_01
1,0.017361111111111112,5.0,L0 Gate Lounge 1_Gate_Lounge_04
1,0.017361111111111112,2.0,L0 Gate Lounge 1_Gate_Lounge_15
1,0.017361111111111112,,L0 Gate Lounge 1_Gate_Lounge_12
1,0.017361111111111112,2.0,L0 Gate Lounge 1_Gate_Lounge_13
1,0.017361111111111112,,L0 Gate Lounge 1_Gate_Lounge_14
1,0.017361111111111112,17.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.017361111111111112,6.0,L0 Gate Lounge 1_Gate_Lounge_03
1,0.017361111111111112,8.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.017361111111111112,11.0,L0 Gate Lounge 1_Gate_Lounge_10
1,0.017361111111111112,9.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.017361111111111112,14.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.017361111111111112,22.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.017361111111111112,21.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.020833333333333332,13.0,L0 Gate Lounge 1_Gate_Lounge_11
1,0.020833333333333332,5.0,L0 Gate Lounge 1_Gate_Lounge_01
1,0.020833333333333332,12.0,L0 Gate Lounge 1_Gate_Lounge_04
1,0.020833333333333332,9.0,L0 Gate Lounge 1_Gate_Lounge_15
1,0.020833333333333332,3.0,L0 Gate Lounge 1_Gate_Lounge_12
1,0.020833333333333332,2.0,L0 Gate Lounge 1_Gate_Lounge_13
1,0.020833333333333332,1.0,L0 Gate Lounge 1_Gate_Lounge_14
1,0.020833333333333332,13.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.020833333333333332,16.0,L0 Gate Lounge 1_Gate_Lounge_03
1,0.020833333333333332,13.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.020833333333333332,17.0,L0 Gate Lounge 1_Gate_Lounge_10
1,0.020833333333333332,13.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.020833333333333332,21.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.020833333333333332,27.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.020833333333333332,14.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.024305555555555556,11.0,L0 Gate Lounge 1_Gate_Lounge_11
1,0.024305555555555556,21.0,L0 Gate Lounge 1_Gate_Lounge_01
1,0.024305555555555556,18.0,L0 Gate Lounge 1_Gate_Lounge_04
1,0.024305555555555556,3.0,L0 Gate Lounge 1_Gate_Lounge_15
1,0.024305555555555556,3.0,L0 Gate Lounge 1_Gate_Lounge_12
1,0.024305555555555556,8.0,L0 Gate Lounge 1_Gate_Lounge_13
1,0.024305555555555556,4.0,L0 Gate Lounge 1_Gate_Lounge_14
1,0.024305555555555556,18.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.024305555555555556,13.0,L0 Gate Lounge 1_Gate_Lounge_03
1,0.024305555555555556,24.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.024305555555555556,19.0,L0 Gate Lounge 1_Gate_Lounge_10
1,0.024305555555555556,12.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.024305555555555556,22.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.024305555555555556,26.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.024305555555555556,23.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.027777777777777776,19.0,L0 Gate Lounge 1_Gate_Lounge_11
1,0.027777777777777776,40.0,L0 Gate Lounge 1_Gate_Lounge_01
1,0.027777777777777776,39.0,L0 Gate Lounge 1_Gate_Lounge_04
1,0.027777777777777776,5.0,L0 Gate Lounge 1_Gate_Lounge_15
1,0.027777777777777776,15.0,L0 Gate Lounge 1_Gate_Lounge_12
1,0.027777777777777776,13.0,L0 Gate Lounge 1_Gate_Lounge_13
1,0.027777777777777776,6.0,L0 Gate Lounge 1_Gate_Lounge_14
1,0.027777777777777776,19.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.027777777777777776,15.0,L0 Gate Lounge 1_Gate_Lounge_03
1,0.027777777777777776,17.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.027777777777777776,23.0,L0 Gate Lounge 1_Gate_Lounge_10
1,0.027777777777777776,16.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.027777777777777776,37.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.027777777777777776,27.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.027777777777777776,19.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.03125,22.0,L0 Gate Lounge 1_Gate_Lounge_11
1,0.03125,43.0,L0 Gate Lounge 1_Gate_Lounge_01
1,0.03125,54.0,L0 Gate Lounge 1_Gate_Lounge_04
1,0.03125,6.0,L0 Gate Lounge 1_Gate_Lounge_15
1,0.03125,20.0,L0 Gate Lounge 1_Gate_Lounge_12
1,0.03125,16.0,L0 Gate Lounge 1_Gate_Lounge_13
1,0.03125,20.0,L0 Gate Lounge 1_Gate_Lounge_14
1,0.03125,23.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.03125,28.0,L0 Gate Lounge 1_Gate_Lounge_03
1,0.03125,35.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.03125,20.0,L0 Gate Lounge 1_Gate_Lounge_10
1,0.03125,24.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.03125,46.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.03125,23.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.03125,30.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.034722222222222224,33.0,L0 Gate Lounge 1_Gate_Lounge_11
1,0.034722222222222224,59.0,L0 Gate Lounge 1_Gate_Lounge_01
1,0.034722222222222224,61.0,L0 Gate Lounge 1_Gate_Lounge_04
1,0.034722222222222224,16.0,L0 Gate Lounge 1_Gate_Lounge_15
1,0.034722222222222224,27.0,L0 Gate Lounge 1_Gate_Lounge_12
1,0.034722222222222224,22.0,L0 Gate Lounge 1_Gate_Lounge_13
1,0.034722222222222224,24.0,L0 Gate Lounge 1_Gate_Lounge_14
1,0.034722222222222224,31.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.034722222222222224,37.0,L0 Gate Lounge 1_Gate_Lounge_03
1,0.034722222222222224,27.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.034722222222222224,26.0,L0 Gate Lounge 1_Gate_Lounge_10
1,0.034722222222222224,36.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.034722222222222224,42.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.034722222222222224,28.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.034722222222222224,26.0,L0 Gate Lounge 1_Gate_Lounge_08
